product_name_es,quantity,brands,categories,nutrition_data_per,nutrition_data_prepared_per,energy-kcal_value,energy-kcal_unit,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,off:food_groups,off:food_groups_tags,off:nova_groups_tags,off:nutriscore_grade,Categoria
Tomate frito estilo casero,380 g,Hacendado,"Condiments, Sauces, Meal sauces, Tomato sauces, Fried tomato sauces, Groceries",100g,100g,104.0,kcal,5.0,g,0.5,g,12.4,g,9.7,g,2.0,g,0.7875,g,0.315,g,104.0,kcal,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:3-processed-foods,b,"Salsas, Condimentos y Aditivos"
Pan 100% Integral Fino,165 g,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Panes, Panes de molde, Panes integrales, Panes de molde integrales",100g,100g,223.0,kcal,2.5,g,0.4,g,38.0,g,0.9,g,9.1,g,1.2,g,0.48,g,940.0,kJ,en:bread,"en:cereals-and-potatoes,en:bread",en:4-ultra-processed-food-and-drink-products,c,"Cereales, Panadería y Pasta"
Leche semidesnatada,"1,5 L",Central Lechera Asturiana,"Bebidas y preparaciones de bebidas, Bebidas, Lácteos, en:Milks (liquid and powder), Bebida lácteas, Leches, Leches homogeneizadas, Productos pasteurizados, Leche semidesnatada, Leche UHT",100g,serving,46.0,kcal,1.6,g,1.1,g,4.7,g,4.7,g,3.2,g,0.1,g,0.04,g,194.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:1-unprocessed-or-minimally-processed-foods,b,Lácteos y Derivados
Aceite de oliva virgen extra,1 l,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Aceites y grasas, Grasas vegetales, Productos del olivo, Aceites vegetales, Aceites de oliva, Aceites de oliva virgen extra, Aceites de oliva virgen",100g,100g,822.0,kcal,91.0,g,13.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,3442.0,kJ,en:fats,"en:fats-and-sauces,en:fats",en:2-processed-culinary-ingredients,b,"Aceites, Grasas y Productos Similares"
Arroz largo,1 kg,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Semillas, Cereales y derivados, Cereales en grano, Arroces, Arroces de grano largo",100g,100g,347.0,kcal,0.8,g,0.3,g,78.0,g,0.3,g,6.5,g,0.1,g,0.04,g,1472.0,kJ,en:cereals,"en:cereals-and-potatoes,en:cereals",en:1-unprocessed-or-minimally-processed-foods,c,"Cereales, Panadería y Pasta"
Agua mineral grande,"1,5 l",Font Vella,"Boissons et préparations de boissons, Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux minérales naturelles, Eau minérale embouteillée faiblement minéralisée",100g,100g,,,,,,,,,,,,,3.075,mg,1.23,mg,,,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,a,"Bebidas, Agua e Infusiones"
Aceite de oliva virgen extra gran selección,750 ml,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Aceites y grasas, Grasas vegetales, Productos del olivo, Aceites vegetales, Aceites de oliva, Aceites de oliva de España, Aceites de oliva virgen extra, Aceites de oliva virgen",100g,100g,822.0,kcal,91.0,g,13.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,3378.0,kJ,en:fats,"en:fats-and-sauces,en:fats",en:2-processed-culinary-ingredients,b,"Aceites, Grasas y Productos Similares"
Limón exprimido,280 ml,Hacendado,"Bebidas y preparaciones de bebidas, Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Bebidas a base de frutas, Zumos y néctares, Zumos de frutas, Zumo de limón, Zumos exprimidos no refrigerados",100g,100g,29.0,kcal,0.0,g,0.0,g,7.1,g,0.01,g,0.0,g,1.5,g,0.6,g,125.0,kJ,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,c,"Frutas, Verduras y Legumbres"
Crema de calabacín,350 g,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Comidas preparadas, Sopas, Sopas de verduras y hortalizas, Sopas de tipo crema, Cremas de verduras y hortalizas",100g,100g,36.0,kcal,1.0,g,0.2,g,5.5,g,2.5,g,0.3,g,0.59,g,0.236,g,36.0,kcal,en:soups,"en:fruits-and-vegetables,en:soups",en:3-processed-foods,a,"Frutas, Verduras y Legumbres"
Agua mineral,500 ml,Mondariz,"Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux minérales naturelles",100g,100g,0.0,kcal,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,kcal,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,a,"Bebidas, Agua e Infusiones"
