product_name_es,quantity,brands,categories,nutrition_data_per,nutrition_data_prepared_per,energy-kcal_value,energy-kcal_unit,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,off:food_groups,off:food_groups_tags,off:nova_groups_tags,off:nutriscore_grade,Categoria
Tomate frito con aceite de oliva virgen extra,3 x 400 g,Baresa,"Condimentos, Salsas, en:Meal sauces, Salsas de tomate, Salsas de tomate frito, en:groceries",100g,100g,79.0,kcal,3.5,g,0.5,g,10.0,g,6.9,g,1.4,g,1.0,g,0.4,g,79.0,kcal,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:4-ultra-processed-food-and-drink-products,b,"Salsas, Condimentos y Aditivos"
Aquabona,500 ml,Coca-Cola,"Bebidas, Aguas, Aguas de manantial, Aguas minerales, Bebidas no alcohólicas, Aguas minerales naturales",100g,100g,,,,,,,,,,,,,,,,,,,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",unknown,a,"Bebidas, Agua e Infusiones"
Tomate frito,360 g,Solis,"Condimentos, Salsas, en:Meal sauces, Salsas de tomate, Salsas de tomate frito, en:Groceries",100g,100g,74.0,kcal,3.3,g,0.4,g,9.0,g,7.4,g,1.4,g,1.1,g,0.44,g,309.0,kJ,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:4-ultra-processed-food-and-drink-products,c,"Salsas, Condimentos y Aditivos"
Huevos Frescos de Gallinas Camperas,342 g,Huevos Guillén,"Productos agrícolas, Huevos, Huevos de gallina, Huevos de gallinas camperas, Huevos frescos",100g,100g,150.0,kcal,11.1,g,3.1,g,0.5,g,0.5,g,12.5,g,0.355,g,0.142,g,150.0,kcal,en:eggs,"en:fish-meat-eggs,en:eggs",en:1-unprocessed-or-minimally-processed-foods,a,Lácteos y Derivados
Agua,1.5L,la serreta,"Bebidas y preparaciones de bebidas, Bebidas, Aguas, Aguas de manantial, Aguas minerales, Aguas minerales naturales",serving,100g,0.0,kcal,,,,,,,,,,,40.0,mg,16.0,mg,0.0,kcal,en:waters-and-flavored-waters,"en:beverages,en:waters-and-flavored-waters",en:1-unprocessed-or-minimally-processed-foods,a,"Bebidas, Agua e Infusiones"
Leche Semidesnatada,1 l,Milbona,"Lácteos, en:Milks (liquid and powder), Leches, Leches homogeneizadas, Productos pasteurizados, Leche semidesnatada, Leche UHT, Leche de vaca",100g,100g,45.0,kcal,1.5,g,1.0,g,4.7,g,4.7,g,3.2,g,0.000325,g,0.00013,g,45.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:1-unprocessed-or-minimally-processed-foods,b,Lácteos y Derivados
Leche semidesnatada sin lactosa,,Hacendado,"Lácteos, en:Milks (liquid and powder), Leches, Leche sin lactosa, Bebida-lacte",100g,100g,44.0,kcal,1.5,g,1.0,g,4.6,g,4.6,g,3.0,g,0.13,g,0.052,g,184.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",unknown,b,Lácteos y Derivados
Vivesoy soja chocolate,1 l,"Pascual, Vivesoy","Bebidas y preparaciones de bebidas, Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, Leguminosas y derivados, en:Dairy substitutes, Sustitutos de la leche, Bebidas de origen vegetal, Bebidas vegetales, Leches de leguminosas, Bebidas de soja, Bebidas de soja con cacao, Bebidas de soja chocolate",100g,100g,33.0,kcal,1.7,g,0.3,g,0.7,g,0.5,g,3.1,g,0.23,g,0.092,g,136.0,kJ,en:plant-based-milk-substitutes,"en:beverages,en:plant-based-milk-substitutes",en:4-ultra-processed-food-and-drink-products,b,"Snacks, Dulces y Postres"
Snaks chocolate,180g,Anitin,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Botanas, Cereales y patatas, Snacks dulces, en:Sweet pastries and pies, Panes, Viennoiseries, Panes especiales, Croissant de chocolate",100g,100g,485.0,kcal,22.5,g,5.3,g,61.4,g,13.1,g,8.1,g,0.68,g,0.272,g,485.0,kcal,en:pastries,"en:sugary-snacks,en:pastries",en:4-ultra-processed-food-and-drink-products,d,"Snacks, Dulces y Postres"
Agua de mineralización muy débil,"1,5 L.",Teleno,"Bebidas, Aguas, Aguas de manantial, Aguas minerales, Aguas minerales naturales",100g,100g,0.0,kcal,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,kcal,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,a,"Bebidas, Agua e Infusiones"
Turrón duro,250g,Hacendado,"Botanas, Snacks dulces, Dulces, Alimentos festivos, Gastronomía navideña, Dulces de Navidad, Turrones, Turrones de almendras, Turrones duros de almendras",100g,100g,539.0,kcal,35.0,g,2.7,g,37.0,g,35.0,g,16.0,g,0.0,g,0.0,g,2245.0,kJ,en:sweets,"en:sugary-snacks,en:sweets",en:4-ultra-processed-food-and-drink-products,d,"Frutas, Verduras y Legumbres"
Jamón cocido extra finas lonchas,225g,"Casa Tarradellas, Hacendado","Meats and their products, Meats, Prepared meats, Hams, White hams",100g,100g,101.0,kcal,2.5,g,0.9,g,0.9,g,0.9,g,18.6,g,1.9,g,0.76,g,101.0,kcal,en:processed-meat,"en:fish-meat-eggs,en:processed-meat",en:4-ultra-processed-food-and-drink-products,c,"Carne, Aves y Productos Cárnicos"
Bonnatur jamón cocido asado lonchas sin gluten sin lactosa,"5 lonchas, 125 gramos",Argal,"Productos a base de carne, Carnes, Embutidos, Jamón, Jamón cocido",100g,100g,109.0,kcal,3.0,g,1.2,g,0.5,g,0.5,g,20.0,g,0.3,g,0.12,g,109.0,kcal,en:processed-meat,"en:fish-meat-eggs,en:processed-meat",en:4-ultra-processed-food-and-drink-products,b,"Carne, Aves y Productos Cárnicos"
Yogur natural,1000 g,Dia,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Postres, Postres lácteos, en:Fermented dairy desserts, Yogures, en:Plain fermented dairy desserts, Yogures naturales",100g,100g,62.0,kcal,3.5,g,2.5,g,4.3,g,4.3,g,3.3,g,0.13,g,0.052,g,62.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:1-unprocessed-or-minimally-processed-foods,b,Lácteos y Derivados
Fresas,1 kg,Fresón de Moguer,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Frutas y sus productos, Frutas, Frutas del bosque, Frutas frescas, Fresas, Fresas frescas",100g,100g,33.0,kcal,0.0,g,0.0,g,7.0,g,0.2,g,0.4,g,0.0,g,0.0,g,33.0,kcal,en:fruits,"en:fruits-and-vegetables,en:fruits",unknown,a,"Frutas, Verduras y Legumbres"
Chocolate Negro 70% 0% Azúcares Añadidos,100 g,Valor,"Botanas, Snacks dulces, Cacao y sus productos, en:Specific products, en:Products for specific diets, Chocolates, Productos sin gluten, Chocolates con edulcorantes, Chocolates negros, Chocolates negros con edulcorantes, en:Dark chocolate bar with more than 70% cocoa, en:Dark chocolate bar without sugar and with artificial sweeteners, en:Flavoured chocolates, en:Flavoured dark chocolates",100g,100g,481.0,kcal,36.0,g,23.0,g,34.0,g,0.5,g,11.0,g,0.1,g,0.04,g,1986.0,kJ,en:chocolate-products,"en:sugary-snacks,en:chocolate-products",en:4-ultra-processed-food-and-drink-products,d,"Snacks, Dulces y Postres"
Aceite de oliva virgen extra,1L,Coosur,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Aceites y grasas, Grasas vegetales, Productos del olivo, Aceites vegetales, Aceites de oliva, Aceites de oliva virgen extra, Aceites de oliva virgen",100g,100g,822.0,kcal,91.0,g,12.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,3700.0,kJ,en:fats,"en:fats-and-sauces,en:fats",en:2-processed-culinary-ingredients,b,"Aceites, Grasas y Productos Similares"
Gazpacho suave sin pepino,1 L e,"Alvalle, PepsiCo","Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Comidas preparadas, Sopas, Refrigerados, Sopas de verduras y hortalizas, Sopas frías, Comidas preparadas refrigeradas, Gazpachos, Sopas refrigeradas",100g,100g,33.0,kcal,1.8,g,0.3,g,2.9,g,2.8,g,0.9,g,0.69,g,0.276,g,33.0,kcal,en:soups,"en:fruits-and-vegetables,en:soups",en:3-processed-foods,b,Comidas Preparadas y Envasadas
Juver 100% free piña,1 l,Juver,"Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Bebidas a base de frutas, Zumos y néctares, Zumos de frutas, Zumos de piña, en:squeezed-juices, Zumos de piña exprimidos no refrigerados",100g,100g,53.0,kcal,0.1,g,0.0,g,12.5,g,10.0,g,0.4,g,0.01,g,0.004,g,224.0,kJ,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:4-ultra-processed-food-and-drink-products,c,"Frutas, Verduras y Legumbres"
Chocolate Negro 92%,100 g,Lacasa,"Botanas, Snacks dulces, Cacao y sus productos, Chocolates, Chocolates negros",100g,100g,590.0,kcal,50.0,g,31.0,g,15.0,g,8.6,g,12.0,g,0.02,g,0.008,g,2438.0,kJ,en:chocolate-products,"en:sugary-snacks,en:chocolate-products",en:4-ultra-processed-food-and-drink-products,d,"Snacks, Dulces y Postres"
Trigo inflado con miel,500 g,SuperSol,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Cereales y patatas, Cereales y derivados, Cereales para el desayuno, Granos inflados, Cereales inflados",100g,100g,391.0,kcal,1.5,g,0.3,g,83.0,g,33.0,g,8.6,g,0.03,g,0.012,g,391.0,kcal,en:breakfast-cereals,"en:cereals-and-potatoes,en:breakfast-cereals",en:4-ultra-processed-food-and-drink-products,c,"Cereales, Panadería y Pasta"
Leche calcio semidesnatada,1 l,Hacendado,"Lácteos, en:Milks (liquid and powder), Leches, Leche semidesnatada",100g,100g,51.0,kcal,1.6,g,1.0,g,5.2,g,5.2,g,3.9,g,0.13,g,0.052,g,214.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:4-ultra-processed-food-and-drink-products,b,Lácteos y Derivados
White Chocolate,,Mr. Brownie,,100g,100g,459.0,kcal,26.0,g,3.5,g,51.0,g,39.0,g,5.5,g,0.4,g,0.16,g,1922.0,kJ,,,unknown,unknown,"Snacks, Dulces y Postres"
Yogur + Proteína Natural,4 x 100 g,Danone,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Postres, Postres lácteos, en:Fermented dairy desserts, Yogures, en:Plain fermented dairy desserts, Yogures naturales",serving,100g,51.0,kcal,0.2,g,0.1,g,5.1,g,4.9,g,7.2,g,0.1,g,0.04,g,51.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:4-ultra-processed-food-and-drink-products,a,Lácteos y Derivados
Vivesoy almendra sin azúcar,1 l,Vivesoy,"Bebidas y preparaciones de bebidas, Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, en:Dairy substitutes, Sustitutos de la leche, Frutos de cáscara y derivados, Bebidas de origen vegetal, Bebidas vegetales, Leches de frutos de cáscara, Leches de almendras",100g,100g,13.0,kcal,1.1,g,0.1,g,0.2,g,0.1,g,0.5,g,0.14,g,0.056,g,55.0,kJ,en:plant-based-milk-substitutes,"en:beverages,en:plant-based-milk-substitutes",en:4-ultra-processed-food-and-drink-products,b,"Frutas, Verduras y Legumbres"
Champiñón,250 g,"Albachamp, Ruol","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Champignons et produits dérivés, Aliments à base de plantes frais, Champignons, Légumes frais, Champignons de Paris, Champignons frais, Champignons de Paris entiers",serving,100g,22.0,kcal,0.5,g,0.1,g,2.7,g,0.5,g,1.8,g,0.04,g,0.016,g,22.0,kcal,en:vegetables,"en:fruits-and-vegetables,en:vegetables",unknown,a,"Frutas, Verduras y Legumbres"
Yogur sabor coco,500 g (125 g x 4),Danone,"Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Fermented dairy desserts, Yogurts, Flavoured fermented dairy desserts, Cow milk yogurts, Flavoured yogurts",100g,100g,72.0,kcal,2.2,g,1.5,g,10.0,g,10.0,g,3.0,g,0.11,g,0.044,g,333.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:4-ultra-processed-food-and-drink-products,b,Lácteos y Derivados
Batido de chocolate 90% leche,1200ml,Puleva,"Beverages, Dairies, Dairy drinks, Flavoured milks, Chocolate milks",100g,100g,62.0,kcal,1.2,g,0.8,g,9.5,g,9.5,g,3.2,g,0.18,g,0.072,g,260.0,kJ,en:sweetened-beverages,"en:beverages,en:sweetened-beverages",en:4-ultra-processed-food-and-drink-products,c,"Snacks, Dulces y Postres"
Gaseosa 0%,500 ml,Hacendado,"Boissons et préparations de boissons, Boissons, Boissons gazeuses, Eaux, Boissons édulcorées, Sodas, Eaux gazeuses, Boissons sans alcool, Boissons avec sucre ajouté",100g,100g,0.4,kcal,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.02,g,0.008,g,1.7,kJ,en:sweetened-beverages,"en:beverages,en:sweetened-beverages",unknown,b,"Bebidas, Agua e Infusiones"
Vivesoy Avena Sin Azúcar,1 l,"Pascual, ViveSoy","Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, Cereales y patatas, en:Dairy substitutes, Cereales y derivados, Sustitutos de la leche, Bebidas de origen vegetal, Bebidas vegetales, Bebidas de cereales, Bebidas de avena",100g,100g,40.0,kcal,1.2,g,0.2,g,5.9,g,0.0,g,0.9,g,0.11,g,0.044,g,170.0,kJ,en:plant-based-milk-substitutes,"en:beverages,en:plant-based-milk-substitutes",en:4-ultra-processed-food-and-drink-products,c,"Cereales, Panadería y Pasta"
Vivesoy Avena Barista,1 l,"Pascual, Vivesoy","Bebidas y preparaciones de bebidas, Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, Cereales y patatas, en:Dairy substitutes, Cereales y derivados, Sustitutos de la leche, Bebidas de origen vegetal, Bebidas vegetales, Bebidas de cereales, Bebidas de avena",100g,100g,66.0,kcal,3.2,g,0.4,g,7.7,g,3.9,g,1.0,g,0.01,g,0.004,g,278.0,kJ,en:plant-based-milk-substitutes,"en:beverages,en:plant-based-milk-substitutes",en:4-ultra-processed-food-and-drink-products,d,"Cereales, Panadería y Pasta"
Tomate Pera,500g,"Lidl, Vicasol","Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Comida y bebida vegetal, Verduras y hortalizas y sus productos, Alimentos frescos, Hortalizas, Alimentos de origen vegetal frescos, Verduras y hortalizas frescas, Tomates y sus productos, Tomates, Tomates frescos",100g,100g,20.0,kcal,3.04,g,0.0,g,3.07,g,0.84,g,0.91,g,0.0,g,0.0,g,20.0,kcal,en:vegetables,"en:fruits-and-vegetables,en:vegetables",unknown,a,"Frutas, Verduras y Legumbres"
Bio Organic Leche Semidesnatada,1 l,Milbona,"Lácteos, en:Milks (liquid and powder), Leches, Leches homogeneizadas, Productos pasteurizados, Leche semidesnatada, Leche UHT",100g,100g,45.0,kcal,1.5,g,1.0,g,4.7,g,4.7,g,3.2,g,0.13,g,0.052,g,45.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:1-unprocessed-or-minimally-processed-foods,b,Lácteos y Derivados
Fresas,500 g,Fresón de Palos,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Frutas y sus productos, Frutas, Frutas del bosque, Frutas frescas, Fresas, Fresas frescas",100g,100g,,,,,,,,,,,,,,,,,,,en:fruits,"en:fruits-and-vegetables,en:fruits",unknown,unknown,"Frutas, Verduras y Legumbres"
Clásico,200 g,San Millán,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Produits à tartiner, Produits à tartiner salés, Fromages à tartiner",100g,100g,237.0,kcal,22.0,g,15.0,g,3.7999999523163,g,3.7999999523163,g,5.9000000953674,g,1.0,g,0.4,g,237.0,kcal,en:salty-and-fatty-products,"en:salty-snacks,en:salty-and-fatty-products",en:4-ultra-processed-food-and-drink-products,d,"Salsas, Condimentos y Aditivos"
Leche entera,1 L.,Consum,"Lácteos, Leches, Leches homogeneizadas, Leche UHT, Leche entera, Leche de vaca",100g,100g,63.0,kcal,3.6,g,2.3,g,4.6,g,4.6,g,3.1,g,0.13,g,0.052,g,264.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:1-unprocessed-or-minimally-processed-foods,c,Lácteos y Derivados
Cortezas de Cerdo,75 g,Tapa,"Snacks, Viandes et dérivés, Snacks salés, Viandes, Porc et dérivés, Porc, Couenne de porc, Couennes de porc frites",100g,serving,487.0,kcal,23.0,g,7.7,g,0.0,g,0.0,g,10.0,g,3.7,g,1.48,g,2041.0,kJ,en:meat-other-than-poultry,"en:fish-meat-eggs,en:meat,en:meat-other-than-poultry",en:3-processed-foods,e,"Snacks, Dulces y Postres"
Paté Finas Hierbas,160 g,Hacendado,"Productos a base de carne, Carnes, Embutidos, Carne de cerdo y sus productos, fr:Charcuteries diverses, Paté, Carne de cerdo, en:Liver Pâtés, Patés de cerdo, Patés de hígado de cerdo",100g,100g,271.0,kcal,24.3,g,9.1,g,1.3,g,1.3,g,11.7,g,1.9,g,0.76,g,1120.0,kJ,en:processed-meat,"en:fish-meat-eggs,en:processed-meat",en:4-ultra-processed-food-and-drink-products,e,"Carne, Aves y Productos Cárnicos"
3 bases de pizza extrafinas,420 g,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Productos de panadería, Masa De Pizza",100g,100g,283.0,kcal,4.4,g,0.8,g,53.4,g,1.9,g,6.5,g,1.25,g,0.5,g,283.0,kcal,en:cereals-and-potatoes,en:cereals-and-potatoes,en:3-processed-foods,c,"Cereales, Panadería y Pasta"
Pan de molde integral de trigo,820 g,El Horno de Aldi,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Cereales y derivados, Panes, Panes de molde, Panes integrales, Panes de molde integrales",100g,100g,281.0,kcal,3.4,g,0.4,g,49.0,g,0.5,g,9.0,g,0.89,g,0.356,g,1188.0,kJ,en:bread,"en:cereals-and-potatoes,en:bread",en:3-processed-foods,a,"Cereales, Panadería y Pasta"
Takis Queso Volcano,90g,"Bimbo, Takis","Botanas, Snacks salados, Aperitivos, en:Chips and fries, Chips fritos",100g,100g,538.0,kcal,29.0,g,8.6,g,60.0,g,3.9,g,6.3,g,1.9,g,0.76,g,2249.0,kJ,en:appetizers,"en:salty-snacks,en:appetizers",en:4-ultra-processed-food-and-drink-products,e,"Snacks, Dulces y Postres"
Chicles fresa,45 g,Hacendado,"Botanas, Snacks dulces, Dulces, Chicles, Chicles sin azúcar",100g,100g,146.0,kcal,0.5,g,0.1,g,59.0,g,0.0,g,0.2,g,0.05,g,0.02,g,610.0,kJ,en:sweets,"en:sugary-snacks,en:sweets",en:4-ultra-processed-food-and-drink-products,not-applicable,"Snacks, Dulces y Postres"
Valor cacao natural 99%,170g,Valor,"Botanas, Snacks dulces, Cacao y sus productos, Chocolates, Chocolates negros",100g,100g,614.0,kcal,55.0,g,35.0,g,8.1,g,2.0,g,14.0,g,0.17,g,0.068,g,2566.0,kJ,en:chocolate-products,"en:sugary-snacks,en:chocolate-products",en:4-ultra-processed-food-and-drink-products,d,"Snacks, Dulces y Postres"
Leche semidesnatada sin lactosa,1 l,Hacendado,"Lácteos, en:Milks (liquid and powder), Leches, Leche semidesnatada, Leche de vaca, Leche sin lactosa",serving,100g,44.0,kcal,1.5,g,1.0,g,4.6,g,4.6,g,3.0,g,0.13,g,0.052,g,44.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:3-processed-foods,b,Lácteos y Derivados
Samba Cocktail,300g,Snack Day,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutos de cáscara y derivados, Frutos de cáscara, Frutos de cáscara sin cáscara",100g,100g,491.0,kcal,25.7,g,3.3,g,47.0,g,5.8,g,14.6,g,1.37,g,0.548,g,2050.0,kJ,en:nuts,"en:salty-snacks,en:nuts",en:4-ultra-processed-food-and-drink-products,d,"Frutas, Verduras y Legumbres"
Colágeno con magnesio,326.25 g (450 x 0.725 g),Ana Maria Lajusticia,Suplementos dietéticos,serving,100g,,,,,,,,,,,,,,,,,,,,,en:4-ultra-processed-food-and-drink-products,not-applicable,"Bebidas, Agua e Infusiones"
Nata para montar,200 ml,Hacendado,"Dairies, Creams, UHT Creams, Unfermented creams",serving,100g,124.0,kcal,12.9,g,3.3,g,1.1,g,0.4,g,0.7,g,0.01375,g,0.0055,g,124.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:4-ultra-processed-food-and-drink-products,c,Lácteos y Derivados
Tomate para untar con aceite de oliva,320 g (2 x 160),Hacendado,"Condimentos, Salsas, Salsas de tomate, en:groceries",100g,100g,62.0,kcal,4.0,g,0.6,g,5.0,g,3.9,g,1.1,g,1.0,g,0.4,g,62.0,kcal,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:3-processed-foods,a,"Salsas, Condimentos y Aditivos"
Hamburguesa ecológica de vacuno origen Pirineos,,Lidl,"Productos a base de carne, Carne de vacuno y sus productos, Preparados de carne, en:Beef preparations, en:Meat patties, en:Beef patties",100g,100g,173.0,kcal,10.4,g,4.7,g,0.6,g,0.0,g,19.2,g,1.05,g,0.42,g,173.0,kcal,,,en:3-processed-foods,d,"Carne, Aves y Productos Cárnicos"
Leche semidesnatada,"1,5 l",Hacendado,"Lácteos, en:Milks (liquid and powder), Leches, Leche semidesnatada, Leche de vaca",100g,100g,46.0,kcal,1.6,g,1.1,g,4.8,g,4.8,g,3.1,g,0.13,g,0.052,g,185.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:1-unprocessed-or-minimally-processed-foods,b,Lácteos y Derivados
Raspberries in white & dark chocolate,150g,Franui,"Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Confiseries chocolatées, Bonbons de chocolat",serving,100g,94.0,kcal,6.3,g,3.9,g,7.8,g,7.2,g,1.2,g,0.02,g,0.008,g,389.0,kJ,en:sweets,"en:sugary-snacks,en:sweets",en:4-ultra-processed-food-and-drink-products,e,"Snacks, Dulces y Postres"
Yogur sabor fresa sin lactosa,,Hacendado,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Postres, Postres lácteos, en:Fermented dairy desserts, en:Fermented dairy desserts with fruits, Yogures, Yogures de frutas, en:Flavoured fermented dairy desserts, Yogures de sabores, Yogures con fresa, en:Yogurt with fruits and sugar",100g,100g,86.0,kcal,3.2,g,2.2,g,11.0,g,11.0,g,3.2,g,0.1,g,0.04,g,360.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:4-ultra-processed-food-and-drink-products,c,Lácteos y Derivados
Leche calcio desnatada,1 litro,Hacendado,"Lácteos, en:Milks (liquid and powder), Leches, Leche desnatada",100g,100g,40.0,kcal,0.3,g,0.2,g,5.3,g,5.3,g,3.9,g,0.13,g,0.052,g,167.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:4-ultra-processed-food-and-drink-products,b,Lácteos y Derivados
Aceite de oliva virgen extra en spray,200 ml ℮,Carbonell,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Aceites y grasas, Grasas vegetales, Productos del olivo, Aceites vegetales, Aceites de oliva, Aceites de oliva virgen extra, Aceites de oliva virgen",100g,100g,900.0,kcal,100.0,g,16.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,3700.0,kJ,en:fats,"en:fats-and-sauces,en:fats",unknown,b,"Aceites, Grasas y Productos Similares"
Agua mineral,75 cl,font vella,"Bebidas, Aguas, Aguas de manantial, Aguas minerales, Aguas minerales naturales",100g,100g,0.0,kcal,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,31.25,mg,12.5,mg,0.0,kJ,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,a,"Bebidas, Agua e Infusiones"
Mermelada extra de melocotón sin azúcares añadidos,280 g,Helios,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Produits à tartiner, Pâtes à tartiner végétales, Produits à tartiner sucrés, Confitures et marmelades, Confitures, Confitures de pêches",100g,100g,47.0,kcal,0.0,g,0.0,g,17.0,g,5.4,g,0.5,g,0.0,g,0.0,g,197.0,kJ,en:sweets,"en:sugary-snacks,en:sweets",en:4-ultra-processed-food-and-drink-products,a,Lácteos y Derivados
Vivesoy almendra original,1 l,Vivesoy,"Bebidas y preparaciones de bebidas, Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, en:Dairy substitutes, Sustitutos de la leche, Frutos de cáscara y derivados, Bebidas de origen vegetal, Bebidas vegetales, Leches de frutos de cáscara, Leches de almendras",100g,100g,26.0,kcal,1.2,g,0.1,g,3.2,g,3.1,g,0.5,g,0.14,g,0.056,g,108.0,kJ,en:plant-based-milk-substitutes,"en:beverages,en:plant-based-milk-substitutes",en:4-ultra-processed-food-and-drink-products,c,"Frutas, Verduras y Legumbres"
Tónica Original,25 cl,Schweppes,"Bebidas y preparaciones de bebidas, Bebidas, Bebidas carbonatadas, Sodas, Bebidas no alcohólicas, Tónica, Bebidas con sabor, Bebidas azucaradas, en:Tonic drink with sugar",serving,100g,62.0,kcal,0.0,g,0.0,g,14.4,g,14.4,g,0.0,g,0.02,g,0.008,g,263.0,kJ,en:sweetened-beverages,"en:beverages,en:sweetened-beverages",en:4-ultra-processed-food-and-drink-products,c,"Bebidas, Agua e Infusiones"
Cacaolat Original,200 ml,Cacaolat,"Bebidas y preparaciones de bebidas, Bebidas, Lácteos, en:Specific products, Bebida lácteas, en:Products for specific diets, Leches aromatizadas, Productos sin gluten, Leches de chocolate, Bebidas no alcohólicas, Bebidas con sabor, Batidos, Bebidas azucaradas",100g,100g,67.0,kcal,1.5,g,1.0,g,10.7,g,10.6,g,2.7,g,0.12,g,0.048,g,280.0,kJ,en:sweetened-beverages,"en:beverages,en:sweetened-beverages",en:4-ultra-processed-food-and-drink-products,e,"Snacks, Dulces y Postres"
Vino Blanco,1L,Casón Histórico,"Bebidas y preparaciones de bebidas, Bebidas, Bebidas alcohólicas, Vinos, Vinos blancos",100g,100g,,,,,,,,,,,,,,,,,,,en:alcoholic-beverages,en:alcoholic-beverages,en:3-processed-foods,not-applicable,Bebidas Alcohólicas
Agua mineral natural,1.5 l,Aldi,"Bebidas, Aguas, Aguas de manantial, Aguas minerales, Aguas minerales naturales",serving,100g,0.0,kcal,0.0,g,0.0,g,,,,,,,92.75,mg,37.1,mg,0.0,kcal,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,a,"Bebidas, Agua e Infusiones"
Leche semidesnatada,"2,2 L",Central Lechera Asturiana,"Dairies, Milks (liquid and powder), Milks, Homogenized milks, Pasteurised products, Semi-skimmed milks, UHT Milks, Cow milks",serving,100g,45.0,kcal,1.55,g,1.0,g,4.65,g,4.65,g,3.15,g,1.0,g,0.4,g,190.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:1-unprocessed-or-minimally-processed-foods,c,Lácteos y Derivados
