,lc,product_name_es,brands,categories,labels,countries,obsolete,origins,origins_tags,ingredients_text_es,nutrition_data_per,nutrition_data_prepared_per,energy-kcal_value,energy-kcal_unit,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,off:food_groups,off:food_groups_tags,off:nova_groups_tags,off:nutriscore_grade,off:nutriscore_score,off:environmental_score_grade,off:environmental_score_data.adjustments.origins_of_ingredients.value,off:environmental_score_data.adjustments.packaging.value,off:environmental_score_data.adjustments.production_system.value,data_sources
0,es,Tomate frito,Hacendado,"Condimentos, Salsas, en:Meal sauces, Salsas de tomate, Salsas de tomate frito, en:Groceries","Sin gluten, FSC, FSC Mixto, Punto Verde, Hecho en España","Marruecos, Rumania, España",0,,,"Tomate, aceite de girasol, azúcar, almidón modificado de maíz, sal, cebolla, ajo, conservador (sorbato potásico),",100g,serving,77.0,kcal,3.5,g,0.3,g,9.5,g,6.9,g,1.5,g,0.9825,g,0.393,g,77.0,kcal,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:4-ultra-processed-food-and-drink-products,c,4.0,b,-5.0,-14.0,0.0,"App - yuka, Apps, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts, App - El CoCo, App - mon-coach-ig-bas, App - macrofactor"
1,es,Kéfir natural sabor suave,Hacendado,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Postres, Postres lácteos, en:Fermented dairy desserts, en:Kefir yogurts","Sin gluten, Punto Verde",España,0,Leche de España,es:leche-de-espana,"Leche pasteurizada de vaca, nata (leche de vaca pasteurizada), leche en polvo desnatada pasteurizada de vaca y fermentos lácticos kéfir.",100g,100g,74.0,kcal,4.2,g,2.9,g,5.1,g,2.3,g,3.9,g,0.08,mg,0.032,mg,308.0,kJ,en:dairy-desserts,"en:milk-and-dairy-products,en:dairy-desserts",en:1-unprocessed-or-minimally-processed-foods,b,1.0,unknown,-5.0,-10.0,0.0,"App - yuka, Apps, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts, App - macrofactor, App - caloriecounterapp"
2,es,Corn Flakes 0% azúcares añadidos,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Cereales y patatas, Cereales y derivados, Cereales para el desayuno, Copos, Copos de cereales, en:Extruded cereals, en:Extruded flakes, Copos de maíz tostado",Punto Verde,España,0,"España, Palencia","en:spain,es:palencia","Maiz (98%), sal, antioxidante (extracto rico en tocoferoles). Puede contener trazas de gluten, leche, frutos de cascara y soja,",100g,100g,373.0,kcal,1.1,g,0.4,g,82.0,g,0.9,g,6.7,g,1.0,g,0.4,g,1583.0,kJ,en:breakfast-cereals,"en:cereals-and-potatoes,en:breakfast-cereals",en:3-processed-foods,c,4.0,b,18.0,0.0,0.0,"App - yuka, Apps, App - El CoCo, App - InFood, App - smoothie-openfoodfacts, App - macrofactor, App - intolerapp"
3,es,Galletas de trigo espelta 0% azúcares añadidos,Hacendado,"Botanas, Snacks dulces, Galletas y pasteles, en:Biscuits and crackers, Galletas","Sin azúcares añadidos, Recicla-amarillo, Recicla-azul",España,0,España,en:spain,"Espelta 68 % (_gluten_, harina integral de _trigo_ espelta, copos de _trigo_ (espelta), edulcorante (maltitol), grasa vegetal de palma, fibra vegetal (inulina), _leche_ desnatada en polvo, fibra vegetal (avena), gasificantes (carbonatos de sodio, carbonato de amonio y difosfatos), sal, aromas, emulgente (lecitina de _soja_).",100g,100g,422.0,kcal,16.0,g,1.3,g,64.0,g,2.0,g,9.0,g,0.885,g,0.354,g,422.0,kcal,en:biscuits-and-cakes,"en:sugary-snacks,en:biscuits-and-cakes",en:4-ultra-processed-food-and-drink-products,b,2.0,b,18.0,-11.0,0.0,"App - yuka, Apps, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts, App - macrofactor"
4,es,Tomate frito,Hacendado,"Condimentos, Salsas, en:Meal sauces, Salsas de tomate, Salsas de tomate frito, en:groceries","Sin gluten, FSC, FSC Mixto, Punto Verde",España,0,España,en:spain,"E Tomate, aceite de girasol, azúcar, almidón de maíz, sal, cebolla, ajo y conservador (sorbato potásico). Producto de España. P Tomate, óleo de girassol, açúcar, amido de milho, sal, cebola, alho e conservante (sorbato de potássio). Produto de Espanha.",100g,100g,81.0,kcal,3.0,g,0.4,g,11.6,g,7.2,g,1.4,g,0.0,mg,0.0,mg,329.0,kJ,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:3-processed-foods,a,0.0,a-plus,18.0,-10.0,0.0,"App - El CoCo, App - InFood, App - Open Food Facts, App - Speisekammer, App - Yuka, App - smoothie-openfoodfacts, Apps, App - caloriecounterapp"
5,ca,Gazpacho original,"Alvalle, PepsiCo","Aliments i begudes amb base vegetal, Aliments amb base vegetal, Aliments amb base de fruites i verdures, Menjar preparat, Sopes, Sopes vegetals, en:Cold soups, en:Gazpacho","Vegetarià, Lliure de gluten, Sense conservants, Vegà, FSC, Mix FSC, Punt verd, Sense additius, Sense colorants, Comptador Nutricional, Grau A Nutriscore, en:fsc-c081801, es:Aceite de oliva virgen extra 100 %, es:Envase-reciclable","Andorra, Bèlgica, República Popular de la Xina, França, Espanya, Suïssa, Regne Unit",0,Espanya,en:spain,"Hortalizas frescas (94%) (tomate, pimiento rojo, pepino, cebolla), 
aceite de oliva virgen extra (2,2%), 
vinagre de vino, 
sal marina, 
ajo, 
zumo de limón.",100g,100g,42.0,kcal,2.4,g,0.4,g,3.5,g,3.3,g,0.9,g,0.62,g,0.248,g,174.0,kJ,en:soups,"en:fruits-and-vegetables,en:soups",en:3-processed-foods,a,-2.0,a-plus,18.0,-11.0,0.0,"Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, App - InFood, App - smoothie-smoothie, App - smoothie-openfoodfacts, App - macrofactor"
6,es,Queso fresco batido desnatado,Hacendado,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos, Postres, Postres lácteos, en:Fermented dairy desserts, en:Fromages blancs - petit suisses and skyr, Queso fresco, fr:Fromages blancs","Sin gluten, Punto Verde, No-vegan",España,0,"España, en:Burgos","en:spain,en:burgos","Leche de vaca desnatada pasterizada, fermentos lácticos.",100g,100g,46.0,kcal,0.5,g,0.1,g,3.5,g,3.5,g,8.0,g,0.1,g,0.04,g,195.0,kJ,en:dairy-desserts,"en:milk-and-dairy-products,en:dairy-desserts",en:3-processed-foods,a,-2.0,a-plus,18.0,-15.0,0.0,"App - yuka, Apps, App - Open Food Facts, App - smoothie-openfoodfacts, App - Waistline, App - macrofactor, App - caloriecounterapp"
7,es,Havarti,Hacendado,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos, Quesos de vaca, Quesos daneses, Havarti","Sin gluten, Sin conservantes, Fuente de calcio, Punto Verde, Sin colorantes, Sin huevo",España,0,España,en:spain,"_Leche_ pasteurizada de vaca, sal, cuajo, fermentos lácticos,",serving,100g,396.0,kcal,35.0,g,25.0,g,1.3,g,0.5,g,19.0,g,0.0,mg,0.0,mg,414.0,kJ,en:cheese,"en:milk-and-dairy-products,en:cheese",en:3-processed-foods,c,7.0,b,18.0,-10.0,0.0,"App - yuka, Apps, app-elcoco, App - smoothie-openfoodfacts, App - InFood, App - macrofactor, App - caloriecounterapp"
8,es,Jamón Serrano,Incarlopsa,"Productos a base de carne, Carnes, Carne de cerdo y sus productos, Embutidos, Jamón, en:Prepared pork meats, Jamón de país, Jamones secos, Productos cárnicos españoles, Jamón Serrano, en:Carnes  Embutidos  Productos a base de carne  Jamón  Jamón de país  Jamones secos  Spanish meat products  Jamón Serrano  raw-cured-ham","Punto Verde, Especialidad tradicional garantizada","Francia, España",0,España,en:spain,"Jamón de cerdo, sal, azúcar, antioxidantes (E-331, E-301) y conservadores (E-252, E-250)",100g,100g,206.5,kcal,10.1666666666667,g,3.83333333333333,g,0.416666666666667,g,0.0833333333333333,g,27.9166666666667,g,0.0,mg,0.0,mg,1038.0,kJ,en:processed-meat,"en:fish-meat-eggs,en:processed-meat",en:3-processed-foods,c,4.0,f,18.0,-15.0,0.0,"App - InFood, App - Yuka, Apps, App - macrofactor, App - smoothie-openfoodfacts, App - caloriecounterapp"
9,es,Tomate frito receta artesana,Hacendado,"Condimentos, Salsas, en:Meal sauces, Salsas de tomate, Salsas de tomate frito, en:Groceries","Vegetariano, Sin gluten, Vegano, Punto Verde, Sin aceite de palma","Francia, España",0,España,en:spain,"Tomate, aceite (15%), azucar y ajo",100g,100g,201.0,kcal,15.0,g,2.1,g,14.3,g,12.5,g,1.6,g,0.9,g,0.36,g,833.0,kJ,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:3-processed-foods,c,9.0,a-plus,18.0,-15.0,0.0,"App - yuka, Apps, App - InFood, App - smoothie-openfoodfacts, App - macrofactor, App - intolerapp"
10,en,Agua mineral natural,Bezoya,"Beverages, Waters, Spring waters, Mineral waters, Non-alcoholic beverages, Natural mineral waters, Low mineral bottled waters","FSC, FSC Mix, Green Dot",Spain,0,Spain,en:spain,AGUA MINERAL NATURAL,serving,100g,0.0,kcal,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0051,g,0.00204,g,0.0,kJ,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,a,0.0,not-applicable,3.0,-5.0,0.0,"App - yuka, Apps, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts"
11,es,Leche Semi desnatada,Central Lechera Asturiana,"Lácteos, en:Milks (liquid and powder), Leches, Leches homogeneizadas, Productos pasteurizados, Leche semidesnatada, Leche UHT, Leche de vaca","Empresa B certificada, FSC, FSC Mixto","Andorra, España",0,España,en:spain,_Leche_ semidesnatada,serving,100g,46.0,kcal,1.6,g,1.1,g,4.7,g,4.7,g,3.2,g,0.1,g,0.04,g,46.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:1-unprocessed-or-minimally-processed-foods,b,0.0,b,18.0,-5.0,0.0,"App - yuka, Apps, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts, App - macrofactor, App - caloriecounterapp"
12,en,Kéfir Coco,Hacendado,"Beverages and beverages preparations, Beverages, Dairies, Fermented foods, Fermented milk products, Dairy drinks, Fermented drinks, Fermented milk drinks, Kefir","Vegetarian, Vegan, es:P","Germany, Spain",0,Spain,en:spain,"Bebida de coco (90%) (agua, coco (7,8%), almidón modificado de maíz, sal, espesantes (goma gellan y pectinas) aroma natural de coco), sirope de agave y fermentos,",100g,100g,53.2,kcal,2.52,g,1.6,g,7.2,g,7.2,g,0.52,g,0.00095,g,0.00038,g,53.2,kcal,en:sweetened-beverages,"en:beverages,en:sweetened-beverages",en:4-ultra-processed-food-and-drink-products,e,11.0,unknown,3.0,-15.0,0.0,"App - yuka, Apps, App - El CoCo, App - Open Food Facts, App - InFood, App - smoothie-openfoodfacts, App - macrofactor, App - Speisekammer"
13,en,Miel de flores,Hacendado,"Breakfasts, Spreads, Sweet spreads, Bee products, Farming products, Sweeteners, Honeys, Flower honeys",Green Dot,Spain,0,"Spain, Argentina, Ukraine, Uruguay","en:spain,en:argentina,en:ukraine,en:uruguay","Miel,",100g,100g,333.0,kcal,0.0,g,0.0,g,83.0,g,79.0,g,0.5,g,0.04,g,0.016,g,333.0,kcal,en:sweets,"en:sugary-snacks,en:sweets",en:2-processed-culinary-ingredients,e,19.0,a,4.0,-15.0,0.0,"App - elcoco, App - yuka, Apps, App - El CoCo, App - InFood, App - smoothie-openfoodfacts, App - Waistline, App - macrofactor, App - caloriecounterapp"
14,es,Tomato Ketchup,Kania,"Condimentos, Salsas, Salsas de tomate, Kétchups","Hecho en España, Nutriscore, Nutriscore D",España,0,,,"ES Kétchup. : 25% concentrado doble de tomate, azúcar , vinagre de alcohol, almidón modificado de maíz, sal, cebolla, ajo, clavo. Conservar en un lugar seco y protegido del calor. Una vez abierto, conservar refigerado y consumir en un plazo de I mes. Consumir preferentemente antes del fin de: ver impresión.PT Ketchup. : 251 polpa de tomate duplamente concentrada, açúcai, Vinagie de alco amido modificado de milho, sal, cebola, alho, cravinho. Conservar em local seco e fresco. Depois de aberto, conservar no frigorfico e Consumir no prazo de 1 mes. Consumir de preferência antes do im de: ver tampa. A imagem da frente é meramente ilustrativ.",100g,100g,96.0,kcal,0.1,g,0.0,g,22.0,g,19.5,g,1.3,g,1.5725,g,0.629,g,96.0,kcal,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:4-ultra-processed-food-and-drink-products,d,13.0,a,-5.0,-8.0,0.0,"App - yuka, Apps, App - El CoCo, App - InFood, App - smoothie-openfoodfacts, App - Speisekammer, App - macrofactor"
15,es,Chocolate 95%,Trapa,"Botanas, Snacks dulces, Cacao y sus productos, Chocolates, Chocolates negros","Sin gluten, Vegetariano, Vegano, Punto Verde","Marruecos, España",0,España,en:spain,"Pasta de cacao, manteca de cacao, cacao desgrasado en polvo y azúcar.",100g,100g,580.0,kcal,52.0,g,33.0,g,12.0,g,6.3,g,11.0,g,0.08,g,0.032,g,2397.0,kJ,en:chocolate-products,"en:sugary-snacks,en:chocolate-products",en:3-processed-foods,d,18.0,d,18.0,-15.0,0.0,"App - yuka, Apps, App - El CoCo, App - smoothie-openfoodfacts"
16,es,Tomate frito con aceite de oliva,Hacendado,"Condimentos, Salsas, en:Meal sauces, Salsas de tomate, Salsas de tomate frito, en:groceries","Vegetariano, Sin gluten, Vegano, FSC, FSC Mixto, Punto Verde","Francia, Alemania, España",0,España,en:spain,"Tomate, aceite de oliva (3,5%), azúcar, almidón modificado de maíz, sal, cebolla, ajo, conservador (sorbato potásico).",serving,100g,77.0,kcal,3.5,g,0.3,g,9.5,g,6.9,g,1.5,g,1.0,g,0.4,g,77.0,kcal,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:4-ultra-processed-food-and-drink-products,b,1.0,a-plus,18.0,-4.0,0.0,"App - yuka, Apps, App - macrofactor"
17,es,Tiras de pechuga de pollo al horno,Hacendado,"Productos a base de carne, Carnes, Pollo y sus productos, Aves, Pollo","Sin gluten, Sin colorantes",España,0,España,en:spain,"Pechuga de pollo asada (99%), sal, dextrosa, fécula de patata, especias (aroma)",100g,100g,107.0,kcal,1.2,g,,,0.6,g,,,23.4,g,1.77,g,0.708,g,107.0,kcal,en:poultry,"en:fish-meat-eggs,en:meat,en:poultry",en:4-ultra-processed-food-and-drink-products,unknown,,c,18.0,-15.0,0.0,"App - elcoco, App - yuka, Apps, App - El CoCo, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts, App - macrofactor"
18,es,Chocolate 85% Cacao 0% Azúcares Añadidos,Valor,"Botanas, Snacks dulces, Cacao y sus productos, en:Specific products, en:Products for specific diets, Chocolates, Productos sin gluten, Chocolates con edulcorantes, Chocolates negros, Chocolates negros con edulcorantes, en:Dark chocolate bar with more than 70% cocoa, en:Dark chocolate bar without sugar and with artificial sweeteners","Sin gluten, Vegetariano, Vegano, Unión Vegetariana Europea, Unión Vegetariana y vegana Europea, Punto Verde, Hecho en España, Sin azúcares añadidos, Con edulcorantes, en:With stevia","Bolivia, Chile, Colombia, Ecuador, Marruecos, Rumania, España",0,,,"Pasta de cacao, manteca de cacao, cacao desgrasado en polvo, edulcorante (maltitol), emulgente (lecitina de soja), edulcorante (glucósidos de esteviol (0.003%)). Cacao 85% mínimo.",serving,100g,568.0,kcal,49.0,g,31.0,g,19.0,g,0.5,g,11.0,g,0.12,g,0.048,g,2342.0,kJ,en:chocolate-products,"en:sugary-snacks,en:chocolate-products",en:4-ultra-processed-food-and-drink-products,d,16.0,e,-5.0,-4.0,0.0,"App - yuka, Apps, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts, App - macrofactor, App - El CoCo"
19,es,Pan de molde 35% avena,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Cereales y derivados, Panes, Panes especiales, Panes de molde","Punto Verde, Sin lactosa, Con aceite de girasol",España,0,España,en:spain,"Harina (52%) (_trigo_ (_gluten_), _avena_ (_gluten_) (30%), _trigo_ malteado tostado (_gluten_)), agua, semillas de girasol (4%), _gluten_ de _trigo_, copos de _avena_ (_gluten_), levadura, azúcar, aceite de girasol (1%), harina de habas, salvado de _trigo_ (_gluten_), sal, fibra de _trigo_ (_gluten_), germen de _trigo_ (_gluten_, emulgentes (E-472e, E471) conservadores (E-282, E-200, E 202).",serving,100g,101.0,kcal,2.6,g,0.5,g,13.0,g,0.6,g,5.1,g,0.00095,g,0.00038,g,101.0,kcal,en:bread,"en:cereals-and-potatoes,en:bread",en:4-ultra-processed-food-and-drink-products,a,-4.0,a-plus,18.0,-10.0,0.0,"App - yuka, Apps, App - Open Food Facts, App - smoothie-openfoodfacts, App - macrofactor"
20,es,Agua mineral grande,Solán de cabras,"Bebidas y preparaciones de bebidas, Bebidas, Aguas, Aguas de manantial, Aguas minerales, Aguas minerales naturales, en:Low mineral bottled waters",Punto Verde,"Francia, Marruecos, España",0,España,en:spain,Agua de mineralización débil.,100g,100g,,,,,,,,,,,,,1.2,mg,0.48,mg,,,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",unknown,a,0.0,not-applicable,3.0,-10.0,0.0,"App - yuka, Apps, App - El CoCo, App - Open Food Facts"
21,en,Leche entera,Central Lechera Asturiana,"Dairies, Milks, Whole milks, Cow milks","100% natural, Certified B Corporation, FSC, FSC Mix, es:AENOR Carbono Neutro",Spain,0,Spain,en:spain,Leche entera de vaca,serving,100g,63.0,kcal,3.6,g,2.4,g,4.6,g,4.6,g,3.1,g,0.0001,g,4e-05,g,63.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:1-unprocessed-or-minimally-processed-foods,c,3.0,c,18.0,-15.0,0.0,"App - yuka, Apps, App - smoothie-openfoodfacts, App - macrofactor, App - caloriecounterapp"
22,es,Quesco fresco cabra,Hacendado,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos, Queso de cabra, Quesos cremosos",Punto Verde,España,0,España,en:spain,"LECHE DE CABRA PASTEURIZADA, SAL, ENDURECEDOR (CLORURO CÁLCICO) Y CUAJO MICROBIANO",100g,100g,262.0,kcal,21.9,g,15.6,g,3.4,g,2.2,g,12.7,g,0.8,g,0.32,g,262.0,kcal,en:cheese,"en:milk-and-dairy-products,en:cheese",en:4-ultra-processed-food-and-drink-products,c,6.0,d,18.0,-10.0,0.0,"App - elcoco, App - yuka, Apps, App - El CoCo, App - Open Food Facts, App - smoothie-openfoodfacts"
23,en,King Kotes,Sol de Alba,"Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Salty snacks, Seeds, Appetizers, Cereals and their products, Chips and fries, Cereal grains, Crisps, Corn, nl:Mais-met-zout",Halal,"Morocco, Spain",0,Spain,en:spain,,100g,100g,420.0,kcal,16.0,g,1.5,g,62.0,g,0.5,g,7.1,g,1.8,g,0.72,g,420.0,kcal,en:cereals,"en:cereals-and-potatoes,en:cereals",en:4-ultra-processed-food-and-drink-products,c,8.0,unknown,3.0,-15.0,0.0,"App - yuka, Apps, App - Open Food Facts, App - smoothie-openfoodfacts"
24,en,Diet Nature María sin azúcares,gullón,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, es:Galletas maría","Low or no sugar, No sugar, Nutriscore, Nutriscore Grade A, Nutriscore Grade B, With sweeteners","France, Mexico, Spain",0,Spain,en:spain,"Harina de _trigo_ 67%, edulcorante (maltitol), aceite  vegetal (girasol alto oleico) 10%, fibra vegetal, gasificantes (Carbonato ácido de sodio y carbonato ácido de amonio), sal, emulgente (lecitina de _soja_), aromas, antioxidante (_metabisulfito_ sódico)",100g,100g,408.0,kcal,11.0,g,1.3,g,75.0,g,0.5,g,7.0,g,1.0,g,0.4,g,408.0,kcal,en:biscuits-and-cakes,"en:sugary-snacks,en:biscuits-and-cakes",en:4-ultra-processed-food-and-drink-products,c,6.0,b,18.0,-15.0,0.0,"App - yuka, Apps, App - InFood, App - smoothie-openfoodfacts, App - caloriecounterapp"
25,en,Tomate frito estilo casero,Hacendado,"Condiments, Sauces, Meal sauces, Tomato sauces, Fried tomato sauces, Groceries","Vegetarian, No gluten, Vegan, FSC, FSC Mix, Green Dot",Spain,0,Spain,en:spain,"Tomate, aceite de oliva (5%), azúcar, sal, almidón de maíz,",100g,100g,104.0,kcal,5.0,g,0.5,g,12.4,g,9.7,g,2.0,g,0.7875,g,0.315,g,104.0,kcal,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:3-processed-foods,b,1.0,a-plus,18.0,-4.0,0.0,"App - yuka, Apps, App - InFood, App - smoothie-openfoodfacts, App - macrofactor"
26,es,Pan 100% Integral Fino,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Panes, Panes de molde, Panes integrales, Panes de molde integrales",Punto Verde,España,0,España,en:spain,"HARINA DE TRIGO INTEGRAL 50%, AGUA, MASA MADRE 6,9% (HARINA DE TRIGO INTEGRAL, AGUA), LEVADURA, GLUTEN DE TRIGO, ACEITE DE OLIVA VIRGEN EXTRA, SAL, HARINA DE MALTA DE CEBADA 0,5%, MASA MADRE INACTIVA 0,5% (ALMIDON DE TRIGO FERMENTADO, HARINA DE TRIGO INTEGRAL, HARINA DE CENTENO INTEGRAL), AROMA NATURAL, HARINA INTEGRAL DE TRIGO ESPELTA 0,2%",100g,100g,223.0,kcal,2.5,g,0.4,g,38.0,g,0.9,g,9.1,g,1.2,g,0.48,g,940.0,kJ,en:bread,"en:cereals-and-potatoes,en:bread",en:4-ultra-processed-food-and-drink-products,c,4.0,a-plus,18.0,-8.0,0.0,"App - smoothie-openfoodfacts, Apps"
27,es,Leche semidesnatada,Central Lechera Asturiana,"Bebidas y preparaciones de bebidas, Bebidas, Lácteos, en:Milks (liquid and powder), Bebida lácteas, Leches, Leches homogeneizadas, Productos pasteurizados, Leche semidesnatada, Leche UHT","Empresa B certificada, Punto Verde, Garantía Ganadera, Gestión de Servicios Agrarios",España,0,España,en:spain,_Leche_ semidesnatada,100g,serving,46.0,kcal,1.6,g,1.1,g,4.7,g,4.7,g,3.2,g,0.1,g,0.04,g,194.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:1-unprocessed-or-minimally-processed-foods,b,0.0,b,18.0,-7.0,0.0,"App - yuka, Apps, App - InFood, App - smoothie-openfoodfacts"
28,es,Aceite de oliva virgen extra,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Aceites y grasas, Grasas vegetales, Productos del olivo, Aceites vegetales, Aceites de oliva, Aceites de oliva virgen extra, Aceites de oliva virgen",Recicla-amarillo,España,0,España,en:spain,Aceite de oliva virgen extra,100g,100g,822.0,kcal,91.0,g,13.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,3442.0,kJ,en:fats,"en:fats-and-sauces,en:fats",en:2-processed-culinary-ingredients,b,0.0,c,18.0,-15.0,0.0,"App - yuka, Apps, App - Open Food Facts, App - smoothie-openfoodfacts, App - macrofactor"
29,es,Arroz largo,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Semillas, Cereales y derivados, Cereales en grano, Arroces, Arroces de grano largo","Categoría I, Punto Verde",España,0,"España, Valencia (España)","en:spain,es:valencia-espana",Arroz largo,100g,100g,347.0,kcal,0.8,g,0.3,g,78.0,g,0.3,g,6.5,g,0.1,g,0.04,g,1472.0,kJ,en:cereals,"en:cereals-and-potatoes,en:cereals",en:1-unprocessed-or-minimally-processed-foods,c,3.0,d,18.0,-10.0,0.0,"App - elcoco, App - yuka, Apps, App - El CoCo, App - InFood, App - smoothie-openfoodfacts, App - macrofactor"
30,fr,Agua mineral grande,Font Vella,"Boissons et préparations de boissons, Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux minérales naturelles, Eau minérale embouteillée faiblement minéralisée","Végétarien, Végétalien, Point Vert",Espagne,0,Espagne,en:spain,Agua.,100g,100g,,,,,,,,,,,,,3.075,mg,1.23,mg,,,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,a,0.0,not-applicable,3.0,-10.0,0.0,"App - yuka, Apps, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts"
31,es,Aceite de oliva virgen extra gran selección,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Aceites y grasas, Grasas vegetales, Productos del olivo, Aceites vegetales, Aceites de oliva, Aceites de oliva de España, Aceites de oliva virgen extra, Aceites de oliva virgen","Producto de cooperativa, Punto Verde",España,0,España,en:spain,Aceite de oliva virgen extra.,100g,100g,822.0,kcal,91.0,g,13.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,3378.0,kJ,en:fats,"en:fats-and-sauces,en:fats",en:2-processed-culinary-ingredients,b,0.0,b,18.0,-2.0,0.0,"App - yuka, Apps, App - El CoCo, App - InFood"
32,es,Limón exprimido,Hacendado,"Bebidas y preparaciones de bebidas, Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Bebidas a base de frutas, Zumos y néctares, Zumos de frutas, Zumo de limón, Zumos exprimidos no refrigerados","Huella de carbono, Punto Verde, Fuente de vitamina C, Recicla-amarillo",España,0,España,en:spain,"Limón (99,98%), antioxidante (_dióxido de azufre_),",100g,100g,29.0,kcal,0.0,g,0.0,g,7.1,g,0.01,g,0.0,g,1.5,g,0.6,g,125.0,kJ,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,c,3.0,c,18.0,-8.0,0.0,"App - yuka, Apps, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts, App - macrofactor"
33,es,Crema de calabacín,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Comidas preparadas, Sopas, Sopas de verduras y hortalizas, Sopas de tipo crema, Cremas de verduras y hortalizas","Vegetariano, Sin conservantes, Vegano, Punto Verde, Sin colorantes",España,0,España,en:spain,"Calabacín 43%, agua, cebolla, zanahoria, apio nabo, aceite de oliva virgen extra, sal. Puede contener trazas de cereales con gluten, frutos con cáscara, leche, soja y huevo. Sin conservantes ni colorantes.",100g,100g,36.0,kcal,1.0,g,0.2,g,5.5,g,2.5,g,0.3,g,0.59,g,0.236,g,36.0,kcal,en:soups,"en:fruits-and-vegetables,en:soups",en:3-processed-foods,a,0.0,a-plus,18.0,-15.0,0.0,"App - Yuka, Apps, App - smoothie-openfoodfacts, App - caloriecounterapp"
34,fr,Agua mineral,Mondariz,"Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux minérales naturelles",,"Maroc, Espagne",0,Espagne,en:spain,Agua mineral natural minero medicinal,100g,100g,0.0,kcal,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,kcal,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,a,0.0,not-applicable,3.0,-10.0,0.0,"App - elcoco, App - yuka, Apps, App - El CoCo"
