,lc,product_name_es,brands,categories,labels,countries,obsolete,origins,origins_tags,ingredients_text_es,nutrition_data_per,nutrition_data_prepared_per,energy-kcal_value,energy-kcal_unit,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,off:food_groups,off:food_groups_tags,off:nova_groups_tags,off:nutriscore_grade,off:nutriscore_score,off:environmental_score_grade,off:environmental_score_data.adjustments.origins_of_ingredients.value,off:environmental_score_data.adjustments.packaging.value,off:environmental_score_data.adjustments.production_system.value,data_sources
1458,es,Alcaparrones,Rioverde,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Conservas, Encurtidos, Vegetales encurtidos, Alcaparrones encurtidos","Sin gluten, Ecológico, Vegetariano, Vegano, KRAV","Francia, España",0,España,en:spain,"Alcaparrón, vinagre (contiene _sulfitos_), sal.",100g,100g,,,0.4,g,0.2,g,5.7,g,0.2,g,1.9,g,2.5,g,1.0,g,123.0,kJ,en:salty-and-fatty-products,"en:salty-snacks,en:salty-and-fatty-products",en:3-processed-foods,d,12.0,unknown,3.0,-2.0,0.0,
1459,es,Olives avec noyau,Auchan,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Verduras y hortalizas y sus productos, Encurtidos, Productos del olivo, Vegetales encurtidos, Aceitunas, Aceitunas negras, Aceitunas enteras, Aceitunas negras enteras","Vegetariano, Vegano",España,0,España,en:spain,"Aceitunas negras, agua, sal, aroma natural de tomillo, aroma natural de orégano y estabilizador: gluconato ferroso (E-579).",100g,100g,157.0,kcal,16.5,g,2.6,g,0.1,g,0.1,g,0.5,g,2.5,g,1.0,g,157.0,kcal,en:salty-and-fatty-products,"en:salty-snacks,en:salty-and-fatty-products",en:4-ultra-processed-food-and-drink-products,d,13.0,a-plus,18.0,-10.0,0.0,"App - yuka, Apps"
1460,es,Arroz de Calasparra,Cooperativa del Campo Virgen de la Esperanza,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Semillas, Cereales y derivados, Cereales en grano, Arroces, Arroces de la variedad japónica, Arroces para paella, Arroces de grano corto, Arroces blancos, Arroces Balilla x Sollana","Vegetariano, Producto protegido de España, Vegano, DOP, DOP Arroz de Calasparra",España,0,"España, Zona amparada por la D.O.P. Arroz de Calasparra","en:spain,es:zona-amparada-por-la-d-o-p-arroz-de-calasparra",Arroz blanco de la variedad Balilla x Sollana con D.O.P. Arroz de Calasparra,100g,100g,,,,,,,,,,,,,,,,,,,en:cereals,"en:cereals-and-potatoes,en:cereals",unknown,unknown,,d,18.0,-10.0,0.0,"App - yuka, Apps"
1461,es,López,Gran Capitán,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos",,España,0,España,en:spain,"leche pasteurizada  de vaca, oveja y cabra,sal,cuajo, conservador (lisozima de huevo),y fermentos lacticos",100g,100g,430.0,kcal,35.0,g,25.0,g,1.5,g,1.5,g,26.0,g,2.0,g,0.8,g,430.0,kcal,en:cheese,"en:milk-and-dairy-products,en:cheese",en:3-processed-foods,e,22.0,b,18.0,-10.0,0.0,"App - Yuka, Apps"
1462,es,Chocolate con leche y nueces ecológico,Chocolates Solé,"Botanas, Snacks dulces, Cacao y sus productos, Chocolates, Chocolates con leche","Sin gluten, Ecológico, Hecho en España",España,0,,,"Azúcar de caña&quot;, Manteca de cacao&quot;, Leche en polvo* (15%). Nueces (13%), Cacao* y Vainilla*. Alérgenos: leche y frutos secos.",100g,100g,601.0,kcal,41.4,g,20.0,g,48.4,g,43.7,g,7.6,g,0.05,g,0.02,g,601.0,kcal,en:chocolate-products,"en:sugary-snacks,en:chocolate-products",en:3-processed-foods,e,29.0,e,-5.0,-15.0,0.0,
1463,fr,,asinez,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, es:Galletas maría",Fabriqué en Espagne,"France, Espagne",0,,,,100g,100g,422.0,kcal,11.800000190735,g,2.0,g,68.099998474121,g,29.5,g,9.1999998092651,g,0.60000002384186,g,0.24,g,422.0,kcal,en:biscuits-and-cakes,"en:sugary-snacks,en:biscuits-and-cakes",unknown,d,17.0,c,-5.0,-15.0,0.0,"App - yuka, Apps, App - El CoCo"
1464,es,Almendras bañadas chocolate,Clavileño,"Botanas, Snacks dulces, Cacao y sus productos, Dulces, Dulces de chocolate, Bombones, Frutos de cáscara recubiertos de chocolate, en:chocolate-covered-almonds","Punto Verde, Hecho en España",España,0,,,"ALMENDRA: 33 %, pasta de cacao, azúcar, manteca de cacao, emulgente:LECITINA DE SOJA, aroma. Cacao 57% minimo. PUEDE CONTENER TRAZAS DE LECHE.",100g,100g,581.0,kcal,43.0,g,16.0,g,33.0,g,31.0,g,12.0,g,0.0,g,0.0,g,581.0,kcal,en:sweets,"en:sugary-snacks,en:sweets",en:4-ultra-processed-food-and-drink-products,e,25.0,e,-5.0,-15.0,0.0,"App - yuka, Apps, App - El CoCo"
1465,es,Caballa de Andalucia,Pesasur,"Productos del mar, en:Fishes and their products, Conservas, Pescados, en:Fatty fishes, Conservas de pescado, Filetes de pescado, Caballa, Filetes De Caballa, Productos marinos españoles, Caballas enlatadas, Caballa de Andalucia","Ecológico, Ecológico UE, ES-ECO-001-AN, IGP","Francia, Alemania, Italia, España, Reino Unido",0,España,en:spain,"filetes de caballa, aceite de oliva ecologico, sal",100g,100g,197.0,kcal,11.0,g,1.8,g,0.0,g,0.0,g,25.0,g,1.2,g,0.48,g,197.0,kcal,en:fatty-fish,"en:fish-meat-eggs,en:fish-and-seafood,en:fatty-fish",en:3-processed-foods,b,1.0,c,15.0,-10.0,15.0,"App - yuka, Apps"
1466,es,Berenjena de Almagro (IGP) Troceada cachitos,Calzado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Conservas, Verduras y hortalizas y sus productos, Alimentos de origen vegetal en conserva, Encurtidos, Verduras y hortalizas en conserva, Vegetales encurtidos, Verduras y hortalizas encurtidas, Berenjenas encurtidas","Vegetariano, Producto protegido de España, Vegano, IGP, IGP Berenjena de Almagro",España,0,"España, Castilla-La Mancha, Ciudad Real (provincia), Zona amparada por la I.G.P. Berenjena de Almagro","en:spain,es:castilla-la-mancha,es:ciudad-real-provincia,es:zona-amparada-por-la-i-g-p-berenjena-de-almagro","Berenjenas, agua, vinagre de vino, pimiento, aceite de girasol, sal, cominos, especias y acidulante: ácido cítrico (E-330).",100g,100g,30.0,kcal,2.2,g,0.4,g,2.1,g,0.0,g,0.5,g,1.7,g,0.68,g,30.0,kcal,en:salty-and-fatty-products,"en:salty-snacks,en:salty-and-fatty-products",en:3-processed-foods,c,6.0,unknown,3.0,-2.0,0.0,"App - yuka, Apps"
1467,es,Berenjenas encurtidas embuchadas origen Almagro,Calzado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Comida y bebida vegetal, Conservas, Verduras y hortalizas y sus productos, Alimentos de origen vegetal en conserva, Encurtidos, Hortalizas, Verduras y hortalizas en conserva, Vegetales encurtidos, Verduras y hortalizas encurtidas, en:Vegetables from Spain, Berenjenas encurtidas, Berenjena de Almagro","Vegetariano, Producto protegido de España, Vegano, Punto Verde, IGP",España,0,"España, Castilla-La Mancha, Ciudad Real (provincia), Zona amparada por la I.G.P. Berenjena de Almagro","en:spain,en:castilla-la-mancha,es:ciudad-real-provincia,es:zona-amparada-por-la-i-g-p-berenjena-de-almagro","Berenjenas, agua, vinagre de vino, pimiento, aceite de girasol, sal, cominos, especias y acidulante: ácido cítrico (E-330)",100g,100g,30.0,kcal,2.2,g,0.4,g,2.1,g,0.0,g,0.5,g,1.7,g,0.68,g,126.0,kJ,en:salty-and-fatty-products,"en:salty-snacks,en:salty-and-fatty-products",en:3-processed-foods,c,6.0,unknown,3.0,-2.0,0.0,"App - Open Food Facts, Apps"
1468,es,Arroz bomba,Bayo,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Semillas, Cereales y derivados, Cereales en grano, Arroces, Arroces de la variedad japónica, Arroces para paella, Arroces de grano corto, Arroces Bomba","Vegetariano, Vegano, Producto de cooperativa, Punto Verde","Francia, España",0,"España, Cataluña, Tarragona (provincia)","en:spain,es:cataluna,es:tarragona-provincia",Arroz Bomba.,100g,100g,332.0,kcal,0.6,g,0.2,g,74.5,g,0.1,g,7.2,g,0.0,g,0.0,g,332.0,kcal,en:cereals,"en:cereals-and-potatoes,en:cereals",unknown,b,2.0,d,18.0,-10.0,0.0,"App - yuka, Apps"
1469,es,Multifrutas,Solán de cabras,"Bebidas y preparaciones de bebidas, Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Bebidas a base de frutas, Zumos y néctares, Bebidas endulzadas artificialmente, Zumos de frutas, Zumos multifruta","Bajo o sin grasas, Punto Verde, Sin grasas, Bajo en calorías","Francia, España",0,"España, Cuenca, Paraje de Solan de Cabras","en:spain,es:cuenca,es:paraje-de-solan-de-cabras","Agua, jarabe de fructosa, zumo de naranja (16%). Zanahoria (3%). Limón (1%) a partir de concentrados, acidulante: ácido cítrico, aroma natural, antioxidante: ácido ascorbico, vitaminas E y A (beta-caroteno) edulcorante: glucósidos de esteviol.",100g,100g,17.0,kcal,0.0,g,0.0,g,4.0,g,3.3,g,0.1,g,0.0,g,0.0,g,17.0,kcal,en:sweetened-beverages,"en:beverages,en:sweetened-beverages",en:4-ultra-processed-food-and-drink-products,d,7.0,c,18.0,-10.0,0.0,"App - yuka, Apps"
1470,es,Solan de Cabras,Solan De Cabras,"Bebidas, Bebidas no alcohólicas","Hecho en España, Hecho en la UE",España,0,,,Agua,serving,100g,0.0,kcal,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.519,g,0.2076,g,0.0,kcal,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,b,0.0,unknown,-5.0,-12.0,0.0,"App - yuka, Apps"
1471,es,Guisantes al natural,Mimo,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Leguminosas y derivados, Conservas, Leguminosas, Verduras y hortalizas y sus productos, Alimentos de origen vegetal en conserva, Hortalizas, Verduras y hortalizas en conserva, Leguminosas en conserva, Guisantes verdes, Guisantes en conserva","Sin gluten, Vegetariano, Vegano",España,0,España,en:spain,"Guisantes, agua, azúcar y sal.",100g,100g,,,,,,,,,,,,,,,,,,,en:vegetables,"en:fruits-and-vegetables,en:vegetables",en:3-processed-foods,unknown,,a-plus,18.0,-10.0,0.0,"App - yuka, Apps"
1472,es,,TRIAS,"Botanas, Snacks dulces, Galletas y pasteles, en:Biscuits and crackers, Alimentos festivos, Galletas, Gastronomía navideña, Barquillos","Sin conservantes, FSC, FSC Mixto, Sin colorantes","Francia, España",0,España,en:spain,"Azúcar, harina de TRIGO, chocolate (17,5%) (azúcar, pasta de cacao, manteca de cacao, emulgente: lecitina de girasol), ALMENDRA (12%), NATA, COCO desecado, yema de HUEVO pasteurizada, clara de HUEVO pasteurizada, sal, pasta de piel de naranja (0,10%) (piel de naranja, azúcar), aroma natural de naranja, aroma natural de limón.",100g,100g,489.0,kcal,18.0,g,6.3,g,68.0,g,44.0,g,8.1,g,0.35,g,0.14,g,2047.0,kJ,en:biscuits-and-cakes,"en:sugary-snacks,en:biscuits-and-cakes",en:4-ultra-processed-food-and-drink-products,e,23.0,b,18.0,-15.0,0.0,"App - yuka, Apps, App - smoothie-openfoodfacts"
1473,es,Filetes de Melva de Andalucía,Usisa,"Productos del mar, en:Fishes and their products, Conservas, Pescados, Conservas de pescado, Melva-en-aceite-de-oliva",IGP,España,0,España,en:spain,"Melva (Auxis spp) (pescado), aceite de oliva y sal",100g,100g,185.0,kcal,8.0,g,1.3999999761581,g,0.0,g,0.0,g,28.0,g,0.89999997615814,g,0.36,g,185.0,kcal,en:fish-and-seafood,"en:fish-meat-eggs,en:fish-and-seafood",en:3-processed-foods,a,0.0,unknown,3.0,-10.0,0.0,"App - elcoco, Apps, App - yuka, App - El CoCo"
1474,es,Paté Ibérico,Coren,"Productos a base de carne, Carnes, Embutidos, Carne de cerdo y sus productos, fr:Charcuteries diverses, Paté, Carne de cerdo, en:Liver Pâtés, Patés de cerdo, Patés de hígado de cerdo","Punto Verde, Iberico","Francia, España",0,España,en:spain,"PATE DE HIGADO DE CERDO IBÉRICO Producto cárnico esterilizado INGREDIENTES: Tocino de cerdo iberico, higado de cerdo ibérico (35%), agua, leche en polvo, huevo, sal, emulgente (E-472c), azúcar, aroma, vino de Jerez, especias, antioxidante (E-301) y conservador (E-250).",100g,100g,394.0,kcal,39.0,g,11.0,g,0.8,g,0.7,g,8.6,g,1.0,g,0.4,g,394.0,kcal,en:processed-meat,"en:fish-meat-eggs,en:processed-meat",en:4-ultra-processed-food-and-drink-products,d,18.0,c,18.0,-3.0,0.0,"App - yuka, Apps"
1475,es,Agua mineral natural,Cabreiroá,"Bebidas y preparaciones de bebidas, Bebidas, Aguas, Aguas de manantial, Aguas minerales",Punto Verde,España,0,España,en:spain,,serving,100g,,,,,,,,,,,,,136.5,mg,54.6,mg,,,en:waters-and-flavored-waters,"en:beverages,en:waters-and-flavored-waters",en:1-unprocessed-or-minimally-processed-foods,a,0.0,not-applicable,3.0,-15.0,0.0,"App - elcoco, App - yuka, Apps, App - El CoCo"
1476,es,Corazones de alcachofas en cuartos,Celorrio,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Conservas, Verduras y hortalizas y sus productos, Alimentos de origen vegetal en conserva, Hortalizas, Verduras y hortalizas en conserva, Verduras de tallo, Alcachofas, Alcachofas en conserva","Sin gluten, Vegetariano, Vegano, Categoría II",España,0,España,en:spain,"Aicachofas, agua, sal, acidulante: ácido cítrico (E-330).",100g,100g,30.0,kcal,0.0,g,0.0,g,6.0,g,0.9,g,1.4,g,0.4,g,0.16,g,30.0,kcal,en:vegetables,"en:fruits-and-vegetables,en:vegetables",en:3-processed-foods,a,-4.0,a-plus,18.0,-10.0,0.0,"App - yuka, Apps"
1477,fr,Calamares en salsa americana,Miau,"Produits de la mer, Poissons et dérivés, Conserves, Poissons, Poissons en conserve","Sans conservateurs, Fabriqué en Espagne","France, Espagne",0,,,,100g,100g,196.0,kcal,11.0,g,4.6,g,12.0,g,1.3,g,11.0,g,0.72,g,0.288,g,196.0,kcal,en:fish-and-seafood,"en:fish-meat-eggs,en:fish-and-seafood",en:3-processed-foods,c,5.0,unknown,-5.0,-15.0,0.0,"App - yuka, Apps, App - elcoco, App - El CoCo"
1478,es,Turrón de cacahuete,La Abeja de Oro,"Botanas, Snacks dulces, Dulces, Alimentos festivos, Gastronomía navideña, Dulces de Navidad, Turrones, Turrones de cacahuete, Turrónes duros de cacahuete","Sin gluten, FSC, FSC Mixto, Punto Verde, Hecho en España","Francia, España",0,,,"_Cacahuetes_ tostados 61%, azúcar, jarabe de glucosa-fructosa, miel, clara de _huevo_, antioxidante (E306), recubrimiento externo (oblea (fécula de patata, aceite de girasol).",100g,100g,544.0,kcal,30.0,g,4.6,g,47.0,g,41.0,g,19.0,g,0.04,g,0.016,g,2273.0,kJ,en:sweets,"en:sugary-snacks,en:sweets",en:4-ultra-processed-food-and-drink-products,e,21.0,d,-5.0,-15.0,0.0,"App - yuka, Apps"
