,product_name_es,quantity,brands,categories,nutrition_data_per,nutrition_data_prepared_per,energy-kcal_value,energy-kcal_unit,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,off:food_groups,off:food_groups_tags,off:nova_groups_tags,off:nutriscore_grade,Categoria
2442,solano de cabras repair,330 ml,Solan De Cabras,"Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Bebidas a base de frutas",100g,100g,29.0,kcal,0.0,g,0.0,g,4.9,g,4.9,g,0.5,g,0.01,g,0.004,g,29.0,kcal,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:4-ultra-processed-food-and-drink-products,c,"Frutas, Verduras y Legumbres"
2443,queso,"1,310 kg",,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos",100g,100g,72.0,,3.6,,,,,,4.6,,,,0.13,,,,,,en:cheese,"en:milk-and-dairy-products,en:cheese",unknown,b,Lácteos y Derivados
2445,"Serrano, snacks chicken",,Mediterranean Natural,,100g,100g,354.0,kcal,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,354.0,kcal,,,unknown,e,"Snacks, Dulces y Postres"
2446,Arroz integral Vaporizado,1kg,Carrefour,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Semillas, Cereales y derivados, Cereales en grano, Arroces, Arroces integrales",100g,100g,352.0,kcal,3.3,g,0.6,g,71.0,g,0.5,g,7.4,g,0.535,,,,352.0,kcal,en:cereals,"en:cereals-and-potatoes,en:cereals",unknown,d,"Cereales, Panadería y Pasta"
2448,Pementos padron,400 g,,,100g,100g,144.5,,2.6,,,,,,2.4,,,,0.2,,,,,,,,unknown,a,"Frutas, Verduras y Legumbres"
2449,Contramuslos fileteados,400-500g,Uvesa,"Productos a base de carne, Carnes, Pollo y sus productos, Aves, Filetes, Pollo",100g,100g,125.0,kcal,5.3,g,1.6,g,0.5,g,0.5,g,19.0,g,0.2,g,0.08,g,125.0,kcal,en:poultry,"en:fish-meat-eggs,en:meat,en:poultry",unknown,a,"Carne, Aves y Productos Cárnicos"
2450,Harina fina de maíz sin gluten,400 g,"Aldi, La Villa","Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Leguminosas y derivados, Cereales y patatas, Cereales y derivados, Harinas de origen vegetal, Harinas de cereales, Harinas de leguminosas",100g,100g,348.0,kcal,0.1,g,0.0,g,86.0,g,0.5,g,0.5,g,0.01,g,0.004,g,348.0,kcal,en:cereals,"en:cereals-and-potatoes,en:cereals",unknown,c,"Cereales, Panadería y Pasta"
2451,Contramuslo de pollo deshuesado,550 g,mercadona,"Productos a base de carne, Carnes",100g,100g,129.0,kcal,5.9,g,1.8,g,0.0,g,0.0,g,19.0,g,0.22,g,0.088,g,514.0,kJ,en:meat-other-than-poultry,"en:fish-meat-eggs,en:meat,en:meat-other-than-poultry",unknown,a,"Carne, Aves y Productos Cárnicos"
2452,Jamón paleta Bodega,,españa e hijos,"Productos a base de carne, Embutidos, Jamón, Jamón de país, Jamones secos, Productos cárnicos españoles, Jamón Serrano",100g,100g,272.0,kcal,17.0,g,7.0,g,0.0,g,0.0,g,30.0,g,5.4,g,2.16,g,272.0,kcal,en:processed-meat,"en:fish-meat-eggs,en:processed-meat",unknown,e,"Carne, Aves y Productos Cárnicos"
2453,Filet Mignon,0.290 kg,Porc Noir sélection,"Productos a base de carne, Carnes, Embutidos, Carne de cerdo y sus productos, Carne de cerdo",100g,100g,299.6,,20.45,,,,,,0.9,,,,3.0,,,,,,en:processed-meat,"en:fish-meat-eggs,en:processed-meat",en:4-ultra-processed-food-and-drink-products,e,"Carne, Aves y Productos Cárnicos"
