,product_name_es,quantity,brands,categories,nutrition_data_per,nutrition_data_prepared_per,energy-kcal_value,energy-kcal_unit,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,off:food_groups,off:food_groups_tags,off:nova_groups_tags,off:nutriscore_grade,Categoria
0,Tomate frito,400 g,Hacendado,"Condimentos, Salsas, en:Meal sauces, Salsas de tomate, Salsas de tomate frito, en:Groceries",100g,serving,77.0,kcal,3.5,g,0.3,g,9.5,g,6.9,g,1.5,g,0.9825,g,0.393,g,77.0,kcal,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:4-ultra-processed-food-and-drink-products,c,"Salsas, Condimentos y Aditivos"
1,Kéfir natural sabor suave,500 g,Hacendado,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Postres, Postres lácteos, en:Fermented dairy desserts, en:Kefir yogurts",100g,100g,74.0,kcal,4.2,g,2.9,g,5.1,g,2.3,g,3.9,g,0.08,mg,0.032,mg,308.0,kJ,en:dairy-desserts,"en:milk-and-dairy-products,en:dairy-desserts",en:1-unprocessed-or-minimally-processed-foods,b,Lácteos y Derivados
2,Corn Flakes 0% azúcares añadidos,30,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Cereales y patatas, Cereales y derivados, Cereales para el desayuno, Copos, Copos de cereales, en:Extruded cereals, en:Extruded flakes, Copos de maíz tostado",100g,100g,373.0,kcal,1.1,g,0.4,g,82.0,g,0.9,g,6.7,g,1.0,g,0.4,g,1583.0,kJ,en:breakfast-cereals,"en:cereals-and-potatoes,en:breakfast-cereals",en:3-processed-foods,c,"Cereales, Panadería y Pasta"
3,Galletas de trigo espelta 0% azúcares añadidos,200 g,Hacendado,"Botanas, Snacks dulces, Galletas y pasteles, en:Biscuits and crackers, Galletas",100g,100g,422.0,kcal,16.0,g,1.3,g,64.0,g,2.0,g,9.0,g,0.885,g,0.354,g,422.0,kcal,en:biscuits-and-cakes,"en:sugary-snacks,en:biscuits-and-cakes",en:4-ultra-processed-food-and-drink-products,b,"Cereales, Panadería y Pasta"
4,Tomate frito,630 g (3 x 210 g),Hacendado,"Condimentos, Salsas, en:Meal sauces, Salsas de tomate, Salsas de tomate frito, en:groceries",100g,100g,81.0,kcal,3.0,g,0.4,g,11.6,g,7.2,g,1.4,g,0.0,mg,0.0,mg,329.0,kJ,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:3-processed-foods,a,"Salsas, Condimentos y Aditivos"
5,Gazpacho original,1 l,"Alvalle, PepsiCo","Aliments i begudes amb base vegetal, Aliments amb base vegetal, Aliments amb base de fruites i verdures, Menjar preparat, Sopes, Sopes vegetals, en:Cold soups, en:Gazpacho",100g,100g,42.0,kcal,2.4,g,0.4,g,3.5,g,3.3,g,0.9,g,0.62,g,0.248,g,174.0,kJ,en:soups,"en:fruits-and-vegetables,en:soups",en:3-processed-foods,a,Comidas Preparadas y Envasadas
6,Queso fresco batido desnatado,500 g,Hacendado,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos, Postres, Postres lácteos, en:Fermented dairy desserts, en:Fromages blancs - petit suisses and skyr, Queso fresco, fr:Fromages blancs",100g,100g,46.0,kcal,0.5,g,0.1,g,3.5,g,3.5,g,8.0,g,0.1,g,0.04,g,195.0,kJ,en:dairy-desserts,"en:milk-and-dairy-products,en:dairy-desserts",en:3-processed-foods,a,Lácteos y Derivados
7,Havarti,300g,Hacendado,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos, Quesos de vaca, Quesos daneses, Havarti",serving,100g,396.0,kcal,35.0,g,25.0,g,1.3,g,0.5,g,19.0,g,0.0,mg,0.0,mg,414.0,kJ,en:cheese,"en:milk-and-dairy-products,en:cheese",en:3-processed-foods,c,Lácteos y Derivados
8,Jamón Serrano,120 g,Incarlopsa,"Productos a base de carne, Carnes, Carne de cerdo y sus productos, Embutidos, Jamón, en:Prepared pork meats, Jamón de país, Jamones secos, Productos cárnicos españoles, Jamón Serrano, en:Carnes  Embutidos  Productos a base de carne  Jamón  Jamón de país  Jamones secos  Spanish meat products  Jamón Serrano  raw-cured-ham",100g,100g,206.5,kcal,10.1666666666667,g,3.83333333333333,g,0.416666666666667,g,0.0833333333333333,g,27.9166666666667,g,0.0,mg,0.0,mg,1038.0,kJ,en:processed-meat,"en:fish-meat-eggs,en:processed-meat",en:3-processed-foods,c,"Carne, Aves y Productos Cárnicos"
9,Tomate frito receta artesana,300 g,Hacendado,"Condimentos, Salsas, en:Meal sauces, Salsas de tomate, Salsas de tomate frito, en:Groceries",100g,100g,201.0,kcal,15.0,g,2.1,g,14.3,g,12.5,g,1.6,g,0.9,g,0.36,g,833.0,kJ,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:3-processed-foods,c,"Salsas, Condimentos y Aditivos"
10,Agua mineral natural,1.5 l,Bezoya,"Beverages, Waters, Spring waters, Mineral waters, Non-alcoholic beverages, Natural mineral waters, Low mineral bottled waters",serving,100g,0.0,kcal,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.00204,g,0.0,kJ,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,a,"Bebidas, Agua e Infusiones"
11,Leche Semi desnatada,1 l,Central Lechera Asturiana,"Lácteos, en:Milks (liquid and powder), Leches, Leches homogeneizadas, Productos pasteurizados, Leche semidesnatada, Leche UHT, Leche de vaca",serving,100g,46.0,kcal,1.6,g,1.1,g,4.7,g,4.7,g,3.2,g,0.1,g,0.04,g,46.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:1-unprocessed-or-minimally-processed-foods,b,Lácteos y Derivados
12,Kéfir Coco,250ml,Hacendado,"Beverages and beverages preparations, Beverages, Dairies, Fermented foods, Fermented milk products, Dairy drinks, Fermented drinks, Fermented milk drinks, Kefir",100g,100g,53.2,kcal,2.52,g,1.6,g,7.2,g,7.2,g,0.52,g,0.00095,g,0.00038,g,53.2,kcal,en:sweetened-beverages,"en:beverages,en:sweetened-beverages",en:4-ultra-processed-food-and-drink-products,e,Lácteos y Derivados
13,Miel de flores,500 g,Hacendado,"Breakfasts, Spreads, Sweet spreads, Bee products, Farming products, Sweeteners, Honeys, Flower honeys",100g,100g,333.0,kcal,0.0,g,0.0,g,83.0,g,79.0,g,0.5,g,0.04,g,0.016,g,333.0,kcal,en:sweets,"en:sugary-snacks,en:sweets",en:2-processed-culinary-ingredients,e,"Salsas, Condimentos y Aditivos"
14,Tomato Ketchup,"500 ml, 560 g",Kania,"Condimentos, Salsas, Salsas de tomate, Kétchups",100g,100g,96.0,kcal,0.1,g,0.0,g,22.0,g,19.5,g,1.3,g,1.5725,g,0.629,g,96.0,kcal,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:4-ultra-processed-food-and-drink-products,d,"Salsas, Condimentos y Aditivos"
15,Chocolate 95%,80 g,Trapa,"Botanas, Snacks dulces, Cacao y sus productos, Chocolates, Chocolates negros",100g,100g,580.0,kcal,52.0,g,33.0,g,12.0,g,6.3,g,11.0,g,0.08,g,0.032,g,2397.0,kJ,en:chocolate-products,"en:sugary-snacks,en:chocolate-products",en:3-processed-foods,d,"Snacks, Dulces y Postres"
16,Tomate frito con aceite de oliva,630g,Hacendado,"Condimentos, Salsas, en:Meal sauces, Salsas de tomate, Salsas de tomate frito, en:groceries",serving,100g,77.0,kcal,3.5,g,0.3,g,9.5,g,6.9,g,1.5,g,1.0,g,0.4,g,77.0,kcal,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:4-ultra-processed-food-and-drink-products,b,"Salsas, Condimentos y Aditivos"
17,Tiras de pechuga de pollo al horno,140 g,Hacendado,"Productos a base de carne, Carnes, Pollo y sus productos, Aves, Pollo",100g,100g,107.0,kcal,1.2,g,,,0.6,g,0.9,,23.4,g,1.77,g,0.708,g,107.0,kcal,en:poultry,"en:fish-meat-eggs,en:meat,en:poultry",en:4-ultra-processed-food-and-drink-products,e,"Carne, Aves y Productos Cárnicos"
18,Chocolate 85% Cacao 0% Azúcares Añadidos,100 g,Valor,"Botanas, Snacks dulces, Cacao y sus productos, en:Specific products, en:Products for specific diets, Chocolates, Productos sin gluten, Chocolates con edulcorantes, Chocolates negros, Chocolates negros con edulcorantes, en:Dark chocolate bar with more than 70% cocoa, en:Dark chocolate bar without sugar and with artificial sweeteners",serving,100g,568.0,kcal,49.0,g,31.0,g,19.0,g,0.5,g,11.0,g,0.12,g,0.048,g,2342.0,kJ,en:chocolate-products,"en:sugary-snacks,en:chocolate-products",en:4-ultra-processed-food-and-drink-products,d,"Snacks, Dulces y Postres"
19,Pan de molde 35% avena,460 g,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Cereales y derivados, Panes, Panes especiales, Panes de molde",serving,100g,101.0,kcal,2.6,g,0.5,g,13.0,g,0.6,g,5.1,g,0.00095,g,0.00038,g,101.0,kcal,en:bread,"en:cereals-and-potatoes,en:bread",en:4-ultra-processed-food-and-drink-products,a,"Cereales, Panadería y Pasta"
20,Agua mineral grande,"1,5 l",Solán de cabras,"Bebidas y preparaciones de bebidas, Bebidas, Aguas, Aguas de manantial, Aguas minerales, Aguas minerales naturales, en:Low mineral bottled waters",100g,100g,0.0,,0.0,,,,,,0.0,,,,0.0,mg,0.48,mg,,,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",unknown,a,"Bebidas, Agua e Infusiones"
21,Leche entera,1 L,Central Lechera Asturiana,"Dairies, Milks, Whole milks, Cow milks",serving,100g,63.0,kcal,3.6,g,2.4,g,4.6,g,4.6,g,3.1,g,0.0001,g,4e-05,g,63.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:1-unprocessed-or-minimally-processed-foods,c,Lácteos y Derivados
22,Quesco fresco cabra,250g,Hacendado,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos, Queso de cabra, Quesos cremosos",100g,100g,262.0,kcal,21.9,g,15.6,g,3.4,g,2.2,g,12.7,g,0.8,g,0.32,g,262.0,kcal,en:cheese,"en:milk-and-dairy-products,en:cheese",en:4-ultra-processed-food-and-drink-products,c,Lácteos y Derivados
23,King Kotes,14g,Sol de Alba,"Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Salty snacks, Seeds, Appetizers, Cereals and their products, Chips and fries, Cereal grains, Crisps, Corn, nl:Mais-met-zout",100g,100g,420.0,kcal,16.0,g,1.5,g,62.0,g,0.5,g,7.1,g,1.8,g,0.72,g,420.0,kcal,en:cereals,"en:cereals-and-potatoes,en:cereals",en:4-ultra-processed-food-and-drink-products,c,"Snacks, Dulces y Postres"
24,Diet Nature María sin azúcares,400 g,gullón,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, es:Galletas maría",100g,100g,408.0,kcal,11.0,g,1.3,g,75.0,g,0.5,g,7.0,g,1.0,g,0.4,g,408.0,kcal,en:biscuits-and-cakes,"en:sugary-snacks,en:biscuits-and-cakes",en:4-ultra-processed-food-and-drink-products,c,"Cereales, Panadería y Pasta"
25,Tomate frito estilo casero,380 g,Hacendado,"Condiments, Sauces, Meal sauces, Tomato sauces, Fried tomato sauces, Groceries",100g,100g,104.0,kcal,5.0,g,0.5,g,12.4,g,9.7,g,2.0,g,0.7875,g,0.315,g,104.0,kcal,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:3-processed-foods,b,"Salsas, Condimentos y Aditivos"
26,Pan 100% Integral Fino,165 g,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Panes, Panes de molde, Panes integrales, Panes de molde integrales",100g,100g,223.0,kcal,2.5,g,0.4,g,38.0,g,0.9,g,9.1,g,1.2,g,0.48,g,940.0,kJ,en:bread,"en:cereals-and-potatoes,en:bread",en:4-ultra-processed-food-and-drink-products,c,"Cereales, Panadería y Pasta"
27,Leche semidesnatada,"1,5 L",Central Lechera Asturiana,"Bebidas y preparaciones de bebidas, Bebidas, Lácteos, en:Milks (liquid and powder), Bebida lácteas, Leches, Leches homogeneizadas, Productos pasteurizados, Leche semidesnatada, Leche UHT",100g,serving,46.0,kcal,1.6,g,1.1,g,4.7,g,4.7,g,3.2,g,0.1,g,0.04,g,194.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:1-unprocessed-or-minimally-processed-foods,b,Lácteos y Derivados
28,Aceite de oliva virgen extra,1 l,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Aceites y grasas, Grasas vegetales, Productos del olivo, Aceites vegetales, Aceites de oliva, Aceites de oliva virgen extra, Aceites de oliva virgen",100g,100g,822.0,kcal,91.0,g,13.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,3442.0,kJ,en:fats,"en:fats-and-sauces,en:fats",en:2-processed-culinary-ingredients,b,"Aceites, Grasas y Productos Similares"
29,Arroz largo,1 kg,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Semillas, Cereales y derivados, Cereales en grano, Arroces, Arroces de grano largo",100g,100g,347.0,kcal,0.8,g,0.3,g,78.0,g,0.3,g,6.5,g,0.1,g,0.04,g,1472.0,kJ,en:cereals,"en:cereals-and-potatoes,en:cereals",en:1-unprocessed-or-minimally-processed-foods,c,"Cereales, Panadería y Pasta"
30,Agua mineral grande,"1,5 l",Font Vella,"Boissons et préparations de boissons, Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux minérales naturelles, Eau minérale embouteillée faiblement minéralisée",100g,100g,0.0,,0.0,,,,,,0.0,,,,0.0,mg,1.23,mg,,,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,a,"Bebidas, Agua e Infusiones"
31,Aceite de oliva virgen extra gran selección,750 ml,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Aceites y grasas, Grasas vegetales, Productos del olivo, Aceites vegetales, Aceites de oliva, Aceites de oliva de España, Aceites de oliva virgen extra, Aceites de oliva virgen",100g,100g,822.0,kcal,91.0,g,13.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,3378.0,kJ,en:fats,"en:fats-and-sauces,en:fats",en:2-processed-culinary-ingredients,b,"Aceites, Grasas y Productos Similares"
32,Limón exprimido,280 ml,Hacendado,"Bebidas y preparaciones de bebidas, Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Bebidas a base de frutas, Zumos y néctares, Zumos de frutas, Zumo de limón, Zumos exprimidos no refrigerados",100g,100g,29.0,kcal,0.0,g,0.0,g,7.1,g,0.01,g,0.0,g,1.5,g,0.6,g,125.0,kJ,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,c,"Frutas, Verduras y Legumbres"
33,Crema de calabacín,350 g,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Comidas preparadas, Sopas, Sopas de verduras y hortalizas, Sopas de tipo crema, Cremas de verduras y hortalizas",100g,100g,36.0,kcal,1.0,g,0.2,g,5.5,g,2.5,g,0.3,g,0.59,g,0.236,g,36.0,kcal,en:soups,"en:fruits-and-vegetables,en:soups",en:3-processed-foods,a,"Frutas, Verduras y Legumbres"
34,Agua mineral,500 ml,Mondariz,"Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux minérales naturelles",100g,100g,0.0,kcal,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,kcal,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,a,"Bebidas, Agua e Infusiones"
35,Jamón de Trevélez,120 g,Antonio Álvarez,"Productos a base de carne, Carnes, Embutidos, Jamón, Jamón de país, Jamones secos, Productos cárnicos españoles, Jamón Serrano, Jamón de Trevélez, en:Carnes  Embutidos  Jamón",100g,100g,268.0,kcal,15.0,g,5.5,g,0.0,g,0.0,g,33.0,g,0.0,mg,0.0,mg,1120.0,kJ,en:processed-meat,"en:fish-meat-eggs,en:processed-meat",en:3-processed-foods,c,"Carne, Aves y Productos Cárnicos"
36,Leche entera de vaca,"1,5 l",Central Lechera Asturiana,"Dairies, Milks, Homogenized milks, UHT Milks, Whole milks",100g,100g,63.0,kcal,3.6,g,2.4,g,4.6,g,4.6,g,3.1,g,0.13,,,,63.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",unknown,b,Lácteos y Derivados
37,Espetec,180 g,Casa Tarradellas,"Productos a base de carne, Embutidos, Salchichas, Salchicha francesa, Embutidos de España, Fuet",100g,100g,421.0,kcal,34.0,g,13.3,g,1.4,g,1.4,g,27.5,g,3.8,g,1.52,g,1749.0,kJ,en:processed-meat,"en:fish-meat-eggs,en:processed-meat",en:4-ultra-processed-food-and-drink-products,e,"Carne, Aves y Productos Cárnicos"
38,Tomate frito sin azúcares añadidos,560 g,Hacendado,"Condimentos, Salsas, en:Meal sauces, Salsas de tomate, Salsas de tomate frito, en:groceries",100g,100g,65.0,kcal,3.5,g,0.3,g,6.5,g,4.7,g,1.5,g,1.18,g,0.472,g,65.0,kcal,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:4-ultra-processed-food-and-drink-products,c,"Salsas, Condimentos y Aditivos"
39,Leche entera,1 l,Hacendado,"Lácteos, Leches, Leche entera, Leche de vaca",100g,100g,63.0,kcal,3.6,g,2.4,g,4.6,g,4.6,g,3.1,g,0.1275,g,0.051,g,63.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:1-unprocessed-or-minimally-processed-foods,c,Lácteos y Derivados
40,Queso en lonchas de vaca,300 g,Entrepinares,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos, Quesos de vaca",100g,100g,364.0,kcal,31.0,g,22.0,g,0.5,g,0.5,g,21.0,g,1.2,g,0.48,g,1509.0,kJ,en:cheese,"en:milk-and-dairy-products,en:cheese",en:3-processed-foods,d,Lácteos y Derivados
41,Lentejas a la Jardinera,420 g (neto),Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Leguminosas y derivados, Conservas, Leguminosas, Comidas preparadas, Semillas, Granos de leguminosas, Legumbres secas, Sopas, Lentejas, Comidas preparadas en conserva, Comidas preparadas de origen vegetal",serving,100g,65.0,kcal,1.3,g,0.4,g,7.9,g,0.5,g,4.2,g,0.0,mg,0.0,mg,65.0,kcal,en:one-dish-meals,"en:composite-foods,en:one-dish-meals",en:4-ultra-processed-food-and-drink-products,b,"Frutas, Verduras y Legumbres"
42,Garbanzos cocidos categoría extra,"540 g neto, 400 g escurrido",Campo Largo,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Leguminosas y derivados, Conservas, Leguminosas, Semillas, Alimentos de origen vegetal en conserva, Granos de leguminosas, Legumbres secas, Garbanzos, Leguminosas en conserva, Garbanzos cocidos en conserva",100g,100g,99.0,kcal,1.7,g,0.2,g,13.2,g,0.4,g,5.6,g,0.53,g,0.212,g,417.0,kJ,en:legumes,"en:cereals-and-potatoes,en:legumes",en:4-ultra-processed-food-and-drink-products,a,"Frutas, Verduras y Legumbres"
43,Puleva omega 3,1 l,Puleva,"Lácteos, Leches",100g,100g,52.0,kcal,2.3,g,0.5,g,5.0,g,5.0,g,2.9,g,0.015,g,0.006,g,219.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:4-ultra-processed-food-and-drink-products,b,Lácteos y Derivados
44,Mermelada de melocotón de temporada de Murcia,350 g,Hero,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Desayunos, Untables, Frutas y sus productos, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Mermeladas y confituras de melocotón",100g,serving,205.0,kcal,0.1,g,0.0,g,50.0,g,47.0,g,0.3,g,0.0,g,0.0,g,868.0,kJ,en:sweets,"en:sugary-snacks,en:sweets",en:4-ultra-processed-food-and-drink-products,d,"Snacks, Dulces y Postres"
45,Perlas de Mozzarella,1pcs,Hacendado,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos, Quesos de vaca, Quesos italianos, en:Stretched-curd cheeses, Mozzarella, en:Cow mozzarella",serving,100g,58.2,kcal,4.2,g,3.0,g,0.6,g,0.15,g,4.5,g,0.18,g,0.072,g,58.2,kcal,en:cheese,"en:milk-and-dairy-products,en:cheese",en:3-processed-foods,c,Lácteos y Derivados
46,Jamón cocido,200 g,Hacendado,"Productos a base de carne, Embutidos, Jamón, Jamón cocido, Productos cárnicos españoles",100g,100g,101.338432122371,kcal,2.5,g,0.5,g,0.9,g,0.9,g,18.6,g,0.0,mg,0.0,mg,424.0,kJ,en:processed-meat,"en:fish-meat-eggs,en:processed-meat",en:4-ultra-processed-food-and-drink-products,a,"Carne, Aves y Productos Cárnicos"
47,Agua mineral grande Aquarel,"1,5 l",Nestlé,"Boissons et préparations de boissons, Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux minérales naturelles",100g,100g,0.0,,0.0,,,,,,0.0,,,,0.0,mg,0.47,mg,,,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,a,"Bebidas, Agua e Infusiones"
48,Agua 330 Ml,330ml,Mondariz,"Boissons et préparations de boissons, Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux minérales naturelles",serving,100g,0.0,,0.0,,,,,,0.0,,,,0.0,mg,47.6,mg,,,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,a,"Bebidas, Agua e Infusiones"
49,Yellow mustard suave,220 ml,Heinz,"Condiments, Sauces, Mustards, Mustard sauces",100g,100g,120.0,kcal,5.2,g,0.3,g,9.4,g,5.3,g,5.6,g,2.5,g,1.0,g,504.0,kJ,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:4-ultra-processed-food-and-drink-products,d,"Salsas, Condimentos y Aditivos"
50,Tomate triturado,800 g,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Comida y bebida vegetal, Condimentos, Verduras y hortalizas y sus productos, Salsas, Tomates y sus productos, Salsas de tomate, Tomate natural triturado",serving,100g,23.0,kcal,0.0,g,0.0,g,3.8,g,3.0,g,1.1,g,0.0,mg,0.0,mg,23.0,kcal,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:3-processed-foods,a,"Salsas, Condimentos y Aditivos"
51,Leche Entera,1 l,Hacendado,"Lácteos, Leches, Leche entera, Leche de vaca",serving,100g,63.0,kcal,3.6,g,2.4,g,4.6,g,4.6,g,3.1,g,0.13,g,0.052,g,63.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:1-unprocessed-or-minimally-processed-foods,c,Lácteos y Derivados
52,Mix choco con cereales integrales,250 g,Esgir,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Cereales y patatas, Cereales y derivados, Cereales para el desayuno, Cereales de chocolate, Granos inflados, Cereales inflados",100g,100g,380.0,kcal,3.5,g,0.6,g,76.0,g,1.2,g,8.8,g,0.21,g,0.084,g,1591.0,kJ,en:breakfast-cereals,"en:cereals-and-potatoes,en:breakfast-cereals",en:4-ultra-processed-food-and-drink-products,a,"Snacks, Dulces y Postres"
54,Agua mineral grande,"1,5 l",Lanjarón,"Beverages and beverages preparations, Beverages, Waters, Spring waters, Mineral waters, Natural mineral waters",100g,100g,0.0,,0.0,,,,,,0.0,,,,0.0,mg,0.59,mg,,,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",en:1-unprocessed-or-minimally-processed-foods,a,"Bebidas, Agua e Infusiones"
55,4 quesos,180g,Hacendado,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos, Productos pasteurizados, Quesos pasteurizados, Queso rallado",100g,100g,354.0,kcal,28.0,g,19.0,g,2.5,g,4.6,,23.0,g,1.8675,g,0.747,g,354.0,kcal,en:cheese,"en:milk-and-dairy-products,en:cheese",en:4-ultra-processed-food-and-drink-products,b,Lácteos y Derivados
56,Yogur natural,960 g,Danone,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Postres, Postres lácteos, en:Fermented dairy desserts, Yogures, en:Plain fermented dairy desserts, Yogures naturales",100g,100g,58.0,kcal,3.3,g,1.7,g,4.3,g,4.3,g,3.3,g,0.11,g,0.044,g,236.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:3-processed-foods,b,Lácteos y Derivados
57,Leche entera,1 l,Hacendado,"Dairies, Milks, Whole milks, Cow milks",100g,100g,63.0,kcal,3.5999999046326,g,2.4000000953674,g,4.5999999046326,g,4.5999999046326,g,3.0999999046326,g,0.13,g,0.052,g,264.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:1-unprocessed-or-minimally-processed-foods,c,Lácteos y Derivados
58,Vivesoy avena original,1 l,Vivesoy,"Bebidas y preparaciones de bebidas, Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, Cereales y patatas, en:Dairy substitutes, Cereales y derivados, Sustitutos de la leche, Bebidas de origen vegetal, Bebidas vegetales, Bebidas de cereales, Bebidas de avena",100g,100g,49.0,kcal,0.7,g,0.1,g,9.0,g,5.0,g,1.2,g,0.07,g,0.028,g,207.0,kJ,en:plant-based-milk-substitutes,"en:beverages,en:plant-based-milk-substitutes",en:4-ultra-processed-food-and-drink-products,c,"Cereales, Panadería y Pasta"
59,Agua Mineral Natural,1.5 L,Viladrau,"Bebidas y preparaciones de bebidas, Bebidas, Aguas, Aguas de manantial, Aguas minerales, Aguas minerales naturales",serving,100g,0.0,,0.0,,,,,,0.0,,,,0.0,g,0.0,g,,,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",unknown,a,"Bebidas, Agua e Infusiones"
60,Pan de molde multicereal,460 g,Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Panes, Panes de molde",100g,100g,260.0,kcal,5.8,g,1.0,g,40.0,g,3.5,g,11.0,g,1.3,g,0.52,g,260.0,kcal,en:bread,"en:cereals-and-potatoes,en:bread",en:4-ultra-processed-food-and-drink-products,c,"Cereales, Panadería y Pasta"
61,Vivesoy soja original,1 l,"Pascual, Vivesoy","Bebidas y preparaciones de bebidas, Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, Leguminosas y derivados, en:Dairy substitutes, Sustitutos de la leche, Bebidas de origen vegetal, Bebidas vegetales, Leches de leguminosas, Bebidas de soja",100g,100g,41.0,kcal,1.9,g,0.3,g,1.9,g,1.8,g,3.5,g,0.12,g,0.048,g,169.0,kJ,en:plant-based-milk-substitutes,"en:beverages,en:plant-based-milk-substitutes",en:4-ultra-processed-food-and-drink-products,b,"Frutas, Verduras y Legumbres"
